census division,housing types,year,value
64,28,2039,27630410298.0
64,28,2040,27937731438.0
64,28,2041,28239551435.0
64,28,2042,28550154303.0
64,28,2043,28861647404.0
64,28,2044,29182106001.0
64,28,2045,29507938384.0
64,28,2046,29839317079.0
64,28,2047,30171949947.0
64,28,2048,30514516515.0
64,28,2049,30862734774.0
64,28,2050,31212426616.0
64,29,2010,3099641430.0
64,29,2011,3141863930.0
64,29,2012,3197934881.0
64,29,2013,3251597771.0
64,29,2014,3297132629.0
64,29,2015,3337540006.0
64,29,2016,3380718883.0
64,29,2017,3427674456.0
64,29,2018,3476781098.0
64,29,2019,3526567944.0
64,29,2020,3574766640.0
64,29,2021,3624543691.0
64,29,2022,3674905292.0
64,29,2023,3725057950.0
64,29,2024,3773764584.0
64,29,2025,3823558291.0
64,29,2026,3875758155.0
64,29,2027,3929440273.0
64,29,2028,3984437277.0
64,29,2029,4040344144.0
64,29,2030,4095049428.0
64,29,2031,4150689250.0
64,29,2032,4207304258.0
64,29,2033,4264201335.0
64,29,2034,4319631373.0
64,29,2035,4376398154.0
64,29,2036,4432111353.0
64,29,2037,4490057227.0
64,29,2038,4548560836.0
64,29,2039,4609136705.0
64,29,2040,4671929859.0
64,29,2041,4733638404.0
64,29,2042,4797162537.0
64,29,2043,4860902128.0
64,29,2044,4926551181.0
64,29,2045,4993327509.0
64,29,2046,5061263047.0
64,29,2047,5129547532.0
64,29,2048,5199873542.0
64,29,2049,5271439597.0
64,29,2050,5343394124.0
64,30,2010,1193421337.0
64,30,2011,1240598509.0
64,30,2012,1286008330.0
64,30,2013,1332462518.0
64,30,2014,1374605440.0
64,30,2015,1406130775.0
64,30,2016,1434090135.0
64,30,2017,1459793991.0
64,30,2018,1485093506.0
64,30,2019,1509969721.0
64,30,2020,1534475878.0
64,30,2021,1560571084.0
64,30,2022,1586182954.0
64,30,2023,1611957223.0
64,30,2024,1635978913.0
64,30,2025,1659264405.0
64,30,2026,1682615781.0
64,30,2027,1705781710.0
64,30,2028,1729078966.0
64,30,2029,1753138090.0
64,30,2030,1777645559.0
64,30,2031,1803401688.0
64,30,2032,1830261782.0
64,30,2033,1857789696.0
64,30,2034,1885004047.0
64,30,2035,1913283141.0
64,30,2036,1941439502.0
64,30,2037,1970821160.0
64,30,2038,2000396589.0
64,30,2039,2030594513.0
64,30,2040,2061715625.0
64,30,2041,2092182982.0
64,30,2042,2123434579.0
64,30,2043,2154603630.0
64,30,2044,2186583752.0
64,30,2045,2218978981.0
64,30,2046,2251801547.0
64,30,2047,2284653902.0
64,30,2048,2318387769.0
64,30,2049,2352539191.0
64,30,2050,2386775051.0
