census region,air conditioning type,housing types,technology,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,63,28,44,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1828.4969946,1828.48942103,1828.3208145,1827.3870527,1824.40281124,1817.24354815,1802.84952645
66,63,28,44,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633.50348552,1633.4967196,1633.34609351,1632.51190939,1629.84591166,1623.45012253
66,63,28,44,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.902927028,976.89888073,976.808800072,976.309923323,974.715545956
66,63,28,44,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091.50316735,1091.49864638,1091.39799839,1090.84059853
66,63,28,44,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.80328037,962.799292472,962.710511949
66,63,28,44,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.42249357,1578.4159558
66,63,28,44,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1406.70064496
66,63,28,45,2000,232.646225662,232.594910076,232.218613989,231.170833471,229.104023203,225.686898285,220.624418875,213.680792047,204.703822524,193.647842651,180.591719159,165.748187764,149.461190434,132.189098275,114.473651768,96.8968849974,80.0307604362
66,63,28,45,2001,0.0,653.942285141,653.79804282,652.740316988,649.795124198,643.985553783,634.380401278,620.15034298,600.632591587,575.39934335,544.322231644,507.622941952,465.899450363,420.118538929,371.568637104,321.772516244,272.36620847
66,63,28,45,2002,0.0,0.0,288.897459857,288.833736741,288.366456504,287.065334471,284.498792784,280.25544559,273.96891574,265.346398237,254.198898702,240.469707555,224.256760615,205.824230696,185.599221053,164.150931758,142.152090035
66,63,28,45,2003,0.0,0.0,0.0,502.232941118,502.122161853,501.309819897,499.047888116,494.586091254,487.209256781,476.280457414,461.290667171,441.911329323,418.043857273,389.858507254,357.814529718,322.654421068,285.367705499
