,,,,value,value,value,value,value
technology,,,,42,44,45,72,73
census region,air conditioning type,housing types,year,,,,,
68,64,29,2003,,,,,
68,64,29,2004,,,,,
68,64,29,2005,,,,,
68,64,29,2006,,,,,
68,64,29,2007,,,,,
68,64,29,2008,,,,,
68,64,29,2009,,,,,
68,64,29,2010,,,,,
68,64,29,2011,,,,,
68,64,29,2012,,,,,
68,64,29,2013,,,,,
68,64,29,2014,,,,,
68,64,29,2015,,,,,
68,64,29,2016,,,,,
68,64,30,2000,,,,,
68,64,30,2001,,,,,
68,64,30,2002,,,,,
68,64,30,2003,,,,,
68,64,30,2004,,,,,
68,64,30,2005,,,,,
68,64,30,2006,,,,,
68,64,30,2007,,,,,
68,64,30,2008,,,,,
68,64,30,2009,,,,,
68,64,30,2010,,,,,
68,64,30,2011,,,,,
68,64,30,2012,,,,,
68,64,30,2013,,,,,
68,64,30,2014,,,,,
68,64,30,2015,,,,,
68,64,30,2016,,,,,
69,63,28,2000,,,,,
69,63,28,2001,,,,,
69,63,28,2002,,,,,
69,63,28,2003,,,,,
69,63,28,2004,,,,,
69,63,28,2005,,,,,
69,63,28,2006,,,,,
69,63,28,2007,,,,,
69,63,28,2008,,,,,
69,63,28,2009,,,,,
69,63,28,2010,,,,,
69,63,28,2011,,,,,
69,63,28,2012,,,,,
69,63,28,2013,,,,,
69,63,28,2014,,,,,
69,63,28,2015,,,,,
69,63,28,2016,,,,,
69,63,29,2000,,,,,
69,63,29,2001,,,,,
69,63,29,2002,,,,,
69,63,29,2003,,,,,
69,63,29,2004,,,,,
69,63,29,2005,,,,,
69,63,29,2006,,,,,
69,63,29,2007,,,,,
69,63,29,2008,,,,,
69,63,29,2009,,,,,
69,63,29,2010,,,,,
69,63,29,2011,,,,,
69,63,29,2012,,,,,
69,63,29,2013,,,,,
69,63,29,2014,,,,,
69,63,29,2015,,,,,
69,63,29,2016,,,,,
69,63,30,2000,,,,,
69,63,30,2001,,,,,
69,63,30,2002,,,,,
69,63,30,2003,,,,,
69,63,30,2004,,,,,
69,63,30,2005,,,,,
69,63,30,2006,,,,,
69,63,30,2007,,,,,
69,63,30,2008,,,,,
69,63,30,2009,,,,,
69,63,30,2010,,,,,
69,63,30,2011,,,,,
69,63,30,2012,,,,,
69,63,30,2013,,,,,
69,63,30,2014,,,,,
69,63,30,2015,,,,,
69,63,30,2016,,,,,
69,64,28,2000,,,,,
69,64,28,2001,,,,,
69,64,28,2002,,,,,
69,64,28,2003,,,,,
69,64,28,2004,,,,,
69,64,28,2005,,,,,
69,64,28,2006,,,,,
69,64,28,2007,,,,,
69,64,28,2008,,,,,
69,64,28,2009,,,,,
69,64,28,2010,,,,,
69,64,28,2011,,,,,
69,64,28,2012,,,,,
69,64,28,2013,,,,,
69,64,28,2014,,,,,
69,64,28,2015,,,,,
69,64,28,2016,,,,,
69,64,29,2000,,,,,
69,64,29,2001,,,,,
69,64,29,2002,,,,,
69,64,29,2003,,,,,
69,64,29,2004,,,,,
69,64,29,2005,,,,,
69,64,29,2006,,,,,
69,64,29,2007,,,,,
69,64,29,2008,,,,,
69,64,29,2009,,,,,
69,64,29,2010,,,,,
69,64,29,2011,,,,,
69,64,29,2012,,,,,
69,64,29,2013,,,,,
69,64,29,2014,,,,,
69,64,29,2015,,,,,
69,64,29,2016,,,,,
69,64,30,2000,,,,,
69,64,30,2001,,,,,
69,64,30,2002,,,,,
69,64,30,2003,,,,,
69,64,30,2004,,,,,
69,64,30,2005,,,,,
69,64,30,2006,,,,,
69,64,30,2007,,,,,
69,64,30,2008,,,,,
69,64,30,2009,,,,,
69,64,30,2010,,,,,
69,64,30,2011,,,,,
69,64,30,2012,,,,,
69,64,30,2013,,,,,
69,64,30,2014,,,,,
69,64,30,2015,,,,,
69,64,30,2016,,,,,
