census region,air conditioning type,housing types,technology,vintage,sector,final_energy,year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,63,28,44,2006,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,12122.1830412,12122.1328316,12121.0150396,12114.8245829,12095.0402894,12047.5773196,11952.1508758,11782.2667884,11506.2376864,11089.7474598,10500.4654918
66,63,28,44,2007,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12301.3036602,12301.2527087,12300.1183999,12293.8364714,12273.7598398,12225.5955445,12128.759054,11956.3647139,11676.2569321,11253.6125345
66,63,28,44,2008,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12342.5184092,12342.467287,12341.3291778,12335.026202,12314.882305,12266.5566382,12169.3957031,11996.4237666,11715.3775011
66,63,28,44,2009,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12484.3300438,12484.2783342,12483.1271485,12476.7517535,12456.3764095,12407.4954961,12309.2182125,12134.2588831
66,63,28,44,2010,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12404.1570015,12404.1056239,12402.961831,12396.6273782,12376.3828824,12327.815877,12230.1697198
66,63,28,44,2011,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12246.7831356,12246.7324099,12245.6031285,12239.349042,12219.361392,12171.4105653
66,63,28,44,2012,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12207.1513908,12207.1008292,12205.9752023,12199.7413547,12179.8183866
66,63,28,44,2013,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12193.7080838,12193.6575779,12192.5331906,12186.3062081
66,63,28,44,2014,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12222.1872303,12222.1366065,12221.0095931
66,63,28,44,2015,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12377.4581372,12377.4068702
66,63,28,44,2016,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12431.2201526
66,63,28,45,1999,N/A,N/A,N/A,64527.6145221,59748.8449028,54977.80646,50228.2951508,45521.2474111,40884.4060776,36351.5757166,31961.4053688,27755.6709969,23777.0868266,20066.7467305,16661.3738275,13590.6247905,10874.7388469,8522.8249159,6532.03375851,4887.76490302
66,63,28,45,2000,N/A,N/A,N/A,4779.82334355,4778.76904131,4771.03786574,4749.51073472,4707.0471704,4636.84077267,4532.82981271,4390.16981681,4205.73386321,3978.58368902,3710.33964739,3405.3724911,3070.74866553,2715.88561516,2351.91364651,1990.7909166,1644.26865661
66,63,28,45,2001,N/A,N/A,N/A,0.0,5118.10692696,5116.97800834,5108.69967243,5085.6489966,5040.18014827,4965.00501632,4853.63286376,4700.87635777,4503.3872742,4260.16094627,3972.93240478,3646.38173483,3288.07549702,2908.09763891,2518.36619487,2131.68563941
66,63,28,45,2002,N/A,N/A,N/A,0.0,0.0,5091.50712544,5090.38407403,5082.14876224,5059.21788528,5013.98534744,4939.20091533,4828.4075856,4676.44498501,4479.9822908,4238.02005761,3952.28429895,3627.43077663,3270.98672633,2892.98368739,2505.27775379
66,63,28,45,2003,N/A,N/A,N/A,0.0,0.0,0.0,5051.08028989,5049.96615556,5041.79623259,5019.047428,4974.1740389,4899.98339913,4790.0697743,4639.31376478,4444.41099474,4204.36995447,3920.90295283,3598.62878463,3245.01491892,2870.01324408
66,63,28,45,2004,N/A,N/A,N/A,0.0,0.0,0.0,0.0,4945.67010716,4944.57922352,4936.57979736,4914.30573392,4870.36880036,4797.72643313,4690.10657807,4542.49667149,4351.66129602,4116.62963364,3839.0782593,3523.52957892,3177.29522414
66,63,28,45,2005,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,4893.02748621,4891.94821414,4884.03393534,4861.99696112,4818.52770035,4746.65855182,4640.18422226,4494.14550263,4305.34141396,4072.81147175,3798.21440521,3486.02448294
66,63,28,45,2006,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,4928.12577141,4927.03875759,4919.0677087,4896.87266057,4853.09158947,4780.70691474,4673.46883178,4526.38255853,4336.22415501,4102.02624707,3825.45946215
66,63,28,45,2007,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.94507596,4999.84200013,4991.75316889,4969.23016079,4924.80216887,4851.34791883,4742.52525727,4593.26559791,4400.29736296,4162.63888408
66,63,28,45,2008,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5017.70042985,5016.59365823,5008.47772586,4985.87925584,4941.30241071,4867.60205679,4758.4147917,4608.65504719,4415.04028423
66,63,28,45,2009,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5075.3522215,5074.23273343,5066.02355157,5043.16543226,4998.07641328,4923.52926559,4813.08747335,4661.60703671
66,63,28,45,2010,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5042.75884828,5041.64654945,5033.49008607,5010.77875919,4965.9792971,4891.91088328,4782.1783365
66,63,28,45,2011,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4978.78042116,4977.68223427,4969.62925348,4947.20606945,4902.97498654,4829.84629258
66,63,28,45,2012,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4962.66861835,4961.5739853,4953.54706471,4931.19644423,4887.10849727
