census region,air conditioning type,year,housing types,value
67,64,2012,28,11801.2273039
67,64,2012,29,6207.03849028
67,64,2012,30,1002.66468379
67,64,2013,28,11260.4518068
67,64,2013,29,5922.60923231
67,64,2013,30,956.718912321
67,64,2014,28,11227.0811669
67,64,2014,29,5905.05742683
67,64,2014,30,953.883651107
67,64,2015,28,14398.1476104
67,64,2015,29,7572.92899332
67,64,2015,30,1223.30616547
67,64,2016,28,14131.1824915
67,64,2016,29,7432.51454951
67,64,2016,30,1200.62407576
68,63,2000,28,0.0
68,63,2000,29,0.0
68,63,2000,30,0.0
68,63,2001,28,293569.408545
68,63,2001,29,83016.5482616
68,63,2001,30,29549.4699287
68,63,2002,28,295422.56753
68,63,2002,29,83540.5908144
68,63,2002,30,29736.0011683
68,63,2003,28,296183.925619
68,63,2003,29,83755.8902247
68,63,2003,30,29812.6362921
68,63,2004,28,318403.971661
68,63,2004,29,90039.3498459
68,63,2004,30,32049.213276
68,63,2005,28,338540.888387
68,63,2005,29,95733.7351277
68,63,2005,30,34076.1111677
68,63,2006,28,341865.410951
68,63,2006,29,96673.8548399
68,63,2006,30,34410.7437168
68,63,2007,28,357378.361101
68,63,2007,29,101060.659246
68,63,2007,30,35972.2124552
68,63,2008,28,315213.412397
68,63,2008,29,89137.1127279
68,63,2008,30,31728.0649129
68,63,2009,28,291169.232752
68,63,2009,29,82337.8184492
68,63,2009,30,29307.878263
68,63,2010,28,278889.263577
68,63,2010,29,78865.2473161
68,63,2010,30,28071.82788
68,63,2011,28,259040.367946
68,63,2011,29,73252.3096118
68,63,2011,30,26073.9209882
68,63,2012,28,258634.012603
68,63,2012,29,73137.3990761
68,63,2012,30,26033.0189573
68,63,2013,28,264997.269357
68,63,2013,29,74936.8222997
68,63,2013,30,26673.5177922
68,63,2014,28,275645.118993
68,63,2014,29,77947.8571604
68,63,2014,30,27745.2858424
68,63,2015,28,298523.817927
68,63,2015,29,84417.5728697
68,63,2015,30,30048.1600742
68,63,2016,28,303813.135559
68,63,2016,29,85913.3039632
68,63,2016,30,30580.5606846
68,64,2000,28,0.0
68,64,2000,29,0.0
68,64,2000,30,0.0
68,64,2001,28,106114.028517
68,64,2001,29,17946.8661636
68,64,2001,30,30607.8600136
68,64,2002,28,106783.874079
68,64,2002,29,18060.1558842
68,64,2002,30,30801.0723481
68,64,2003,28,107059.075689
68,64,2003,29,18106.7002152
68,64,2003,30,30880.4523555
68,64,2004,28,115090.766086
68,64,2004,29,19465.0849135
68,64,2004,30,33197.1380828
68,64,2005,28,122369.485508
68,64,2005,29,20696.1210464
68,64,2005,30,35296.6345232
68,64,2006,28,123571.172304
68,64,2006,29,20899.3600753
68,64,2006,30,35643.2527957
68,64,2007,28,129178.505994
68,64,2007,29,21847.7178812
68,64,2007,30,37260.6495434
68,64,2008,28,113937.50186
68,64,2008,29,19270.0355029
68,64,2008,30,32864.486967
68,64,2009,28,105246.457458
68,64,2009,29,17800.1355013
68,64,2009,30,30357.6151224
68,64,2010,28,100807.721809
68,64,2010,29,17049.4204851
68,64,2010,30,29077.2924234
68,64,2011,28,93633.1109142
68,64,2011,29,15835.9920318
68,64,2011,30,27007.82537
68,64,2012,28,93486.2291163
68,64,2012,29,15811.1501894
68,64,2012,30,26965.458328
68,64,2013,28,95786.3012255
68,64,2013,29,16200.1570614
68,64,2013,30,27628.898272
68,64,2014,28,99635.0885548
68,64,2014,29,16851.0952272
68,64,2014,30,28739.054445
68,64,2015,28,107904.856591
68,64,2015,29,18249.7455492
68,64,2015,30,31124.4120261
68,64,2016,28,109816.741091
68,64,2016,29,18573.0989807
68,64,2016,30,31675.8819305
69,63,2000,28,0.0
69,63,2000,29,0.0
69,63,2000,30,0.0
69,63,2001,28,123309.908275
69,63,2001,29,29903.5179199
69,63,2001,30,7934.77727429
69,63,2002,28,112837.150502
69,63,2002,29,27363.8006812
69,63,2002,30,7260.87359905
69,63,2003,28,107141.331941
69,63,2003,29,25982.5247175
69,63,2003,30,6894.35762069
69,63,2004,28,104192.284263
69,63,2004,29,25267.3599644
69,63,2004,30,6704.5915522
69,63,2005,28,107626.056215
69,63,2005,29,26100.0737546
69,63,2005,30,6925.54878125
69,63,2006,28,112706.410621
69,63,2006,29,27332.095343
69,63,2006,30,7252.46071605
69,63,2007,28,111857.834794
69,63,2007,29,27126.3097511
69,63,2007,30,7197.85634335
69,63,2008,28,111542.085649
69,63,2008,29,27049.7383681
69,63,2008,30,7177.53843723
69,63,2009,28,107722.261032
69,63,2009,29,26123.4040979
69,63,2009,30,6931.73939327
69,63,2010,28,104938.488297
69,63,2010,29,25448.3196782
69,63,2010,30,6752.60847877
69,63,2011,28,99845.7999391
69,63,2011,29,24213.3070202
69,63,2011,30,6424.90287577
69,63,2012,28,100305.85631
69,63,2012,29,24324.8739181
69,63,2012,30,6454.50669992
69,63,2013,28,101598.454373
69,63,2013,29,24638.3380173
69,63,2013,30,6537.6831281
69,63,2014,28,102787.447247
69,63,2014,29,24926.6771315
69,63,2014,30,6614.19274333
69,63,2015,28,106866.284834
69,63,2015,29,25915.8238643
69,63,2015,30,6876.65881965
69,63,2016,28,106350.725684
69,63,2016,29,25790.797153
69,63,2016,30,6843.48348857
69,64,2000,28,0.0
69,64,2000,29,0.0
69,64,2000,30,0.0
69,64,2001,28,53075.703293
69,64,2001,29,25064.2903704
69,64,2001,30,8054.52246361
69,64,2002,28,48567.9634688
69,64,2002,29,22935.5705823
69,64,2002,30,7370.44878354
69,64,2003,28,46116.3391009
69,64,2003,29,21777.8237938
69,64,2003,30,6998.40164486
69,64,2004,28,44846.9943924
69,64,2004,29,21178.3927475
69,64,2004,30,6805.77178158
69,64,2005,28,46324.9766879
69,64,2005,29,21876.3501012
69,64,2005,30,7030.06351699
69,64,2006,28,48511.6897176
69,64,2006,29,22908.9960566
69,64,2006,30,7361.90894017
69,64,2007,28,48146.4412193
69,64,2007,29,22736.5123428
69,64,2007,30,7306.4805228
69,64,2008,28,48010.5348014
69,64,2008,29,22672.3323562
69,64,2008,30,7285.8559954
69,64,2009,28,46366.3856746
69,64,2009,29,21895.9049409
69,64,2009,30,7036.34755268
69,64,2010,28,45168.1794818
69,64,2010,29,21330.0681064
69,64,2010,30,6854.51334046
69,64,2011,28,42976.1576076
69,64,2011,29,20294.9151203
69,64,2011,30,6521.86227168
69,64,2012,28,43174.1775056
69,64,2012,29,20388.4273663
69,64,2012,30,6551.91285261
69,64,2013,28,43730.5444042
69,64,2013,29,20651.1641862
69,64,2013,30,6636.34451163
69,64,2014,28,44242.3170093
69,64,2014,29,20892.841948
69,64,2014,30,6714.0087476
69,64,2015,28,45997.9518696
69,64,2015,29,21721.9170086
69,64,2015,30,6980.43574795
69,64,2016,28,45776.0421715
69,64,2016,29,21617.1231243
69,64,2016,30,6946.75976181
