census region,air conditioning type,year,housing types,value
69,63,2005,29,2038016.45244
69,63,2005,30,540779.40511
69,63,2006,28,8516654.81852
69,63,2006,29,2065348.54778
69,63,2006,30,548031.865826
69,63,2007,28,8628512.65332
69,63,2007,29,2092474.85753
69,63,2007,30,555229.722169
69,63,2008,28,8740054.73897
69,63,2008,29,2119524.5959
69,63,2008,30,562407.260607
69,63,2009,28,8847777.0
69,63,2009,29,2145648.0
69,63,2009,30,569339.0
69,63,2010,28,8952715.4883
69,63,2010,29,2171096.31968
69,63,2010,30,576091.608479
69,63,2011,28,9052561.28824
69,63,2011,29,2195309.6267
69,63,2011,30,582516.511355
69,63,2012,28,9152867.14455
69,63,2012,29,2219634.50062
69,63,2012,30,588971.018054
69,63,2013,28,9254465.59892
69,63,2013,29,2244272.83863
69,63,2013,30,595508.701183
69,63,2014,28,9357253.04617
69,63,2014,29,2269199.51577
69,63,2014,30,602122.893926
69,63,2015,28,9464119.331
69,63,2015,29,2295115.33963
69,63,2015,30,608999.552746
69,63,2016,28,9570470.05668
69,63,2016,29,2320906.13678
69,63,2016,30,615843.036234
69,64,2000,28,3378339.97164
69,64,2000,29,1595375.82671
69,64,2000,30,512681.198798
69,64,2001,28,3431415.67494
69,64,2001,29,1620440.11708
69,64,2001,30,520735.721262
69,64,2002,28,3479983.63841
69,64,2002,29,1643375.68766
69,64,2002,30,528106.170046
69,64,2003,28,3526099.97751
69,64,2003,29,1665153.51145
69,64,2003,30,535104.57169
69,64,2004,28,3570946.9719
69,64,2004,29,1686331.9042
69,64,2004,30,541910.343472
69,64,2005,28,3617271.94859
69,64,2005,29,1708208.2543
69,64,2005,30,548940.406989
69,64,2006,28,3665783.6383
69,64,2006,29,1731117.25036
69,64,2006,30,556302.315929
69,64,2007,28,3713930.07952
69,64,2007,29,1753853.7627
69,64,2007,30,563608.796452
69,64,2008,28,3761940.61433
69,64,2008,29,1776526.09506
69,64,2008,30,570894.652447
69,64,2009,28,3808307.0
69,64,2009,29,1798422.0
69,64,2009,30,577931.0
69,64,2010,28,3853475.17948
69,64,2010,29,1819752.06811
69,64,2010,30,584785.51334
69,64,2011,28,3896451.33709
69,64,2011,29,1840046.98323
69,64,2011,30,591307.375612
69,64,2012,28,3939625.51459
69,64,2012,29,1860435.41059
69,64,2012,30,597859.288465
69,64,2013,28,3983356.059
69,64,2013,29,1881086.57478
69,64,2013,30,604495.632976
69,64,2014,28,4027598.37601
69,64,2014,29,1901979.41673
69,64,2014,30,611209.641724
69,64,2015,28,4073596.32788
69,64,2015,29,1923701.33374
69,64,2015,30,618190.077472
69,64,2016,28,4119372.37005
69,64,2016,29,1945318.45686
69,64,2016,30,625136.837234
