census region,air conditioning type,housing types,technology,final_energy,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,63,28,42,2.0,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0681482383325,0.0679214344703,0.0677627574702,0.0676073250122,0.0674007423807,0.0670513002783,0.0664004121809,0.065340633444
66,63,28,42,2.0,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0674855297507,0.0673338011405,0.0672074822187,0.0670774437798,0.0668831647184,0.0665007347657,0.0658570947198
66,63,28,42,2.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0664797999361,0.0663609274854,0.0662602601773,0.0661426206512,0.0659156917201,0.0655406880557
66,63,28,42,2.0,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0661464512443,0.0660519264319,0.0659622652081,0.0658098540837,0.0655859625443
66,63,28,42,2.0,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659794590503,0.0658956995798,0.0657709706178,0.0656208982065
66,63,28,42,2.0,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0660498765684,0.0659306622392,0.0658077692119
66,63,28,42,2.0,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667685232213,0.0666499382519
66,63,28,42,2.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0669397123532
66,63,28,44,2.0,1999,0.0275210786296,0.0253587149746,0.023226270725,0.0211259356255,0.0190736004349,0.0170515975311,0.0150445792027,0.0130608426315,0.0111324890296,0.00927793705284,0.00753816703522,0.00594371628322,0.00451852845825,0.00328896496343,0.0022736309253,0.00147822921952,0.000895163728414
66,63,28,44,2.0,2000,0.00203859841797,0.00202868812375,0.00201946346783,0.00201063705834,0.00200263071552,0.00199159154882,0.00197172727799,0.0019377620376,0.00188626728918,0.00181085418001,0.00170893045844,0.00157753374631,0.00141458444983,0.00122312510361,0.00101117237656,0.000791307399606,0.000580446178638
66,63,28,44,2.0,2001,0.0,0.00217227395218,0.00216258685392,0.00215403646853,0.00214787099177,0.00214094436027,0.00212812929066,0.00210482099388,0.00206821771499,0.00201183645608,0.00193256897676,0.00182577042906,0.00168616748201,0.00151254089888,0.00130803242548,0.00108078655251,0.000845809415585
66,63,28,44,2.0,2002,0.0,0.0,0.00215135637842,0.00214303913163,0.0021377999059,0.0021333012734,0.00212540945071,0.00211059946306,0.0020871346545,0.00204939270474,0.001994728025,0.00191821054492,0.00181304136217,0.00167501402865,0.00150277599476,0.0012988910897,0.00107326437249
