census region,year,building types,value
67,2010,22,872714014.2
67,2010,23,3895759809.0
67,2010,24,1548931021.7
67,2010,25,1547013462.6
67,2010,26,712801507.8
67,2010,27,2522973125.0
67,2011,17,1573342344.3
67,2011,18,2247985187.5
67,2011,19,226623443.59
67,2011,20,298775625.34
67,2011,21,499064103.4
67,2011,22,880394287.4
67,2011,23,3903114186.0
67,2011,24,1547400347.0
67,2011,25,1549396206.5
67,2011,26,726161500.1
67,2011,27,2526581125.0
67,2012,17,1576418688.0
67,2012,18,2272802187.5
67,2012,19,227187360.05
67,2012,20,299519081.05
67,2012,21,505237861.5
67,2012,22,885220276.7
67,2012,23,3915333153.0
67,2012,24,1548131740.8
67,2012,25,1552367147.0
67,2012,26,741535500.1
67,2012,27,2531506625.0
67,2013,17,1580921516.2
67,2013,18,2294768687.5
67,2013,19,227804388.5
67,2013,20,300332558.5
67,2013,21,513104887.3
67,2013,22,895727283.3
67,2013,23,3921307161.0
67,2013,24,1547625911.1
67,2013,25,1554888070.6
67,2013,26,753571507.9
67,2013,27,2544063875.0
67,2014,17,1586195875.6
67,2014,18,2313774687.5
67,2014,19,228735878.09
67,2014,20,301560614.97
67,2014,21,520824810.5
67,2014,22,904856768.3
67,2014,23,3932937298.0
67,2014,24,1549766646.6
67,2014,25,1559681717.9
67,2014,26,764856000.0
67,2014,27,2562835125.0
67,2015,17,1592215421.9
67,2015,18,2330406125.0
67,2015,19,230073762.06
67,2015,20,303324453.31
67,2015,21,528483483.2
67,2015,22,914954001.9
67,2015,23,3951747296.0
67,2015,24,1556327957.4
67,2015,25,1568341050.3
67,2015,26,775329515.6
67,2015,27,2584838500.0
67,2016,17,1599018125.5
67,2016,18,2345401125.0
67,2016,19,231786483.3
67,2016,20,305582469.3
67,2016,21,536198520.8
67,2016,22,924957222.3
67,2016,23,3971608705.0
67,2016,24,1566484528.5
67,2016,25,1580184379.8
67,2016,26,786262390.6
67,2016,27,2612264187.5
68,2000,17,2004677562.6
68,2000,18,2696297500.0
68,2000,19,279264782.4
68,2000,20,368176869.36
68,2000,21,545650331.9
68,2000,22,1417185559.9
68,2000,23,4814304906.5
68,2000,24,2109313944.2
68,2000,25,2061274382.0
68,2000,26,952942835.9
68,2000,27,3154450813.0
68,2001,17,2053432375.1
68,2001,18,2802275468.8
68,2001,19,286807582.85
68,2001,20,378121140.39
68,2001,21,560901461.5
68,2001,22,1463262275.4
68,2001,23,4978531309.2
68,2001,24,2162488349.7
68,2001,25,2113801607.4
68,2001,26,982290406.3
68,2001,27,3260574250.0
68,2002,17,2103854062.3
68,2002,18,2897097468.8
68,2002,19,294836463.03
68,2002,20,388706248.62
68,2002,21,574745519.0
68,2002,22,1496382918.3
68,2002,23,5148452936.2
68,2002,24,2216530696.6
68,2002,25,2166561888.2
68,2002,26,1012174546.9
68,2002,27,3382307062.5
68,2003,17,2160134469.0
68,2003,18,3001417218.8
68,2003,19,301600627.48
68,2003,20,397623982.09
68,2003,21,589375351.4
68,2003,22,1525551360.8
68,2003,23,5296411779.5
68,2003,24,2249665810.9
68,2003,25,2201226331.4
68,2003,26,1038863843.8
68,2003,27,3462689750.0
68,2004,17,2203411485.0
68,2004,18,3092864000.0
68,2004,19,309227669.6
68,2004,20,407679315.44
68,2004,21,605904231.2
68,2004,22,1559022801.3
68,2004,23,5459611460.6
68,2004,24,2281089740.2
68,2004,25,2235101396.0
68,2004,26,1063388875.0
68,2004,27,3547278437.5
68,2005,17,2245388062.5
68,2005,18,3180884562.5
68,2005,19,317084503.63
68,2005,20,418037601.72
68,2005,21,620361750.4
68,2005,22,1588361105.2
68,2005,23,5614178392.3
68,2005,24,2311851072.9
68,2005,25,2267612663.3
68,2005,26,1089254101.6
68,2005,27,3629600187.5
68,2006,17,2282598765.7
68,2006,18,3268753500.0
68,2006,19,325659645.25
68,2006,20,429342889.75
68,2006,21,635701203.8
68,2006,22,1624206958.1
68,2006,23,5783107037.6
68,2006,24,2350854893.8
68,2006,25,2307707334.5
68,2006,26,1117617507.8
68,2006,27,3718069187.5
68,2007,17,2318871625.1
68,2007,18,3372153375.0
68,2007,19,333939535.46
68,2007,20,440258924.51
68,2007,21,653314912.9
68,2007,22,1666286248.8
68,2007,23,5959770145.7
68,2007,24,2389717153.8
68,2007,25,2348534878.0
68,2007,26,1145090961.1
68,2007,27,3815355937.5
68,2008,17,2357810609.4
68,2008,18,3469247187.5
68,2008,19,342507490.57
68,2008,20,451554737.94
68,2008,21,670944409.4
68,2008,22,1715063350.9
68,2008,23,6128728867.2
68,2008,24,2436643646.4
68,2008,25,2396462474.7
68,2008,26,1173351586.0
68,2008,27,3923412125.0
68,2009,17,2392096797.4
68,2009,18,3571668625.0
68,2009,19,349047062.83
68,2009,20,460176373.66
68,2009,21,689351460.8
68,2009,22,1776237519.6
68,2009,23,6264548837.2
68,2009,24,2477828978.3
68,2009,25,2439632716.3
68,2009,26,1210490843.7
68,2009,27,4022926500.0
68,2010,17,2418411781.4
68,2010,18,3673884500.0
68,2010,19,351070829.04
68,2010,20,462844464.92
68,2010,21,707303431.9
68,2010,22,1812981550.7
68,2010,23,6329296268.5
68,2010,24,2498582556.1
68,2010,25,2464657592.4
68,2010,26,1245369093.8
68,2010,27,4098121812.5
68,2011,17,2441620485.0
68,2011,18,3748371500.0
68,2011,19,352640249.84
68,2011,20,464913556.59
68,2011,21,718986050.7
68,2011,22,1839463484.6
68,2011,23,6373275548.5
68,2011,24,2507980100.8
68,2011,25,2477329001.9
68,2011,26,1286612687.6
68,2011,27,4121855875.0
68,2012,17,2464413468.8
68,2012,18,3821370375.0
68,2012,19,355221873.34
68,2012,20,468317115.22
68,2012,21,732815553.2
68,2012,22,1865576493.5
68,2012,23,6432458629.8
68,2012,24,2524125021.5
68,2012,25,2496745457.8
68,2012,26,1321496242.3
68,2012,27,4145867687.5
68,2013,17,2480306015.7
68,2013,18,3875053312.5
68,2013,19,357336717.71
68,2013,20,471105281.96
68,2013,21,746473119.3
68,2013,22,1893103099.8
68,2013,23,6464228338.5
68,2013,24,2528701046.5
68,2013,25,2505919943.5
68,2013,26,1343492086.0
68,2013,27,4174901875.0
68,2014,17,2498141546.9
68,2014,18,3921895375.0
68,2014,19,360195384.71
68,2014,20,474874088.96
68,2014,21,759871693.7
68,2014,22,1916602975.0
68,2014,23,6508512821.8
68,2014,24,2541117474.7
68,2014,25,2521893986.3
68,2014,26,1363931734.5
68,2014,27,4216903375.0
68,2015,17,2517523203.2
68,2015,18,3963242125.0
68,2015,19,364094524.96
68,2015,20,480014634.21
68,2015,21,773157407.9
68,2015,22,1941727955.6
68,2015,23,6569550118.2
68,2015,24,2566677198.4
68,2015,25,2549387626.0
68,2015,26,1382806343.9
68,2015,27,4265613875.0
68,2016,17,2538556422.4
68,2016,18,4000771625.0
68,2016,19,368949119.55
68,2016,20,486414830.55
68,2016,21,786530322.4
68,2016,22,1966288580.6
68,2016,23,6635627114.8
68,2016,24,2602839631.2
68,2016,25,2586241336.7
68,2016,26,1402478007.9
68,2016,27,4325623187.5
69,2000,17,972180031.3
69,2000,18,1396502593.8
69,2000,19,163890192.36
69,2000,20,216069414.18
69,2000,21,248993156.23
69,2000,22,915539534.3
69,2000,23,2919856653.1
69,2000,24,1316339700.0
69,2000,25,1251854521.1
69,2000,26,617955796.9
69,2000,27,2068953062.5
69,2001,17,993631453.2
69,2001,18,1423378656.3
69,2001,19,167862017.14
69,2001,20,221305785.32
69,2001,21,257518345.58
69,2001,22,937139030.8
69,2001,23,3021386958.6
69,2001,24,1352713997.4
69,2001,25,1287066995.8
69,2001,26,634066976.6
69,2001,27,2146661000.0
69,2002,17,1012965156.3
69,2002,18,1455666687.5
69,2002,19,171566139.98
69,2002,20,226189223.61
69,2002,21,263785175.49
69,2002,22,957366505.2
69,2002,23,3115768193.1
69,2002,24,1388712916.9
69,2002,25,1321097839.5
69,2002,26,649605375.0
69,2002,27,2223898562.5
69,2003,17,1031369359.5
69,2003,18,1497019125.0
69,2003,19,174897239.36
69,2003,20,230580875.61
69,2003,21,272188211.74
69,2003,22,973138093.6
69,2003,23,3196659902.0
69,2003,24,1412651391.5
69,2003,25,1345324478.1
69,2003,26,666076390.6
69,2003,27,2283809250.0
69,2004,17,1051663640.7
69,2004,18,1536395875.0
69,2004,19,178150182.33
69,2004,20,234869487.83
69,2004,21,279235263.98
69,2004,22,990514879.9
69,2004,23,3268915765.0
69,2004,24,1428018284.0
69,2004,25,1361499490.5
69,2004,26,678974359.4
69,2004,27,2337425937.5
69,2005,17,1065419609.5
69,2005,18,1576097187.5
69,2005,19,181710412.91
69,2005,20,239563221.66
69,2005,21,287162699.39
69,2005,22,1008174872.7
69,2005,23,3346504617.0
69,2005,24,1445230099.2
69,2005,25,1379629388.1
69,2005,26,692463531.3
69,2005,27,2388688500.0
69,2006,17,1082987718.9
69,2006,18,1614140875.0
69,2006,19,185731506.06
69,2006,20,244864547.01
69,2006,21,297216062.83
69,2006,22,1025606012.8
69,2006,23,3441764879.0
69,2006,24,1464298840.5
69,2006,25,1400194305.8
69,2006,26,708067367.2
69,2006,27,2445597750.0
69,2007,17,1098816906.3
69,2007,18,1650928750.0
69,2007,19,190219494.87
69,2007,20,250781418.04
69,2007,21,307060942.6
69,2007,22,1046943849.2
69,2007,23,3554112431.0
69,2007,24,1488367111.6
69,2007,25,1425078707.9
69,2007,26,720599617.2
69,2007,27,2501333062.5
69,2008,17,1114704875.1
69,2008,18,1689363625.0
69,2008,19,194271233.84
69,2008,20,256123146.22
69,2008,21,317310677.1
69,2008,22,1074972741.1
69,2008,23,3657582725.0
69,2008,24,1513243567.2
69,2008,25,1450826699.7
69,2008,26,732130828.1
69,2008,27,2553056250.0
69,2009,17,1130115593.8
69,2009,18,1724387875.0
69,2009,19,197250389.65
69,2009,20,260050803.15
69,2009,21,327339388.1
69,2009,22,1109607044.0
69,2009,23,3741486538.0
69,2009,24,1535827743.0
69,2009,25,1474474849.0
69,2009,26,749560718.8
69,2009,27,2611212375.0
69,2010,17,1140617203.2
69,2010,18,1753983500.0
69,2010,19,197791814.09
69,2010,20,260764605.84
69,2010,21,332710475.0
69,2010,22,1127043271.9
69,2010,23,3767750340.0
69,2010,24,1542111760.4
69,2010,25,1482027817.4
69,2010,26,761764593.8
69,2010,27,2646019000.0
69,2011,17,1146468171.9
69,2011,18,1771431687.5
69,2011,19,198187713.9
69,2011,20,261286551.9
69,2011,21,338540237.5
69,2011,22,1136290153.0
69,2011,23,3789127203.0
69,2011,24,1543632636.6
69,2011,25,1485563576.8
69,2011,26,776978508.0
69,2011,27,2658675187.5
69,2012,17,1154082093.9
69,2012,18,1788687875.0
69,2012,19,199024998.6
69,2012,20,262390410.6
69,2012,21,345148758.1
69,2012,22,1146102164.8
69,2012,23,3814205379.0
69,2012,24,1549485737.2
69,2012,25,1493203985.3
69,2012,26,795076586.0
69,2012,27,2672644625.0
69,2013,17,1162986109.5
69,2013,18,1810157687.5
69,2013,19,200172611.4
69,2013,20,263903399.4
69,2013,21,351276864.6
69,2013,22,1157702698.5
69,2013,23,3834226022.0
69,2013,24,1552463231.2
69,2013,25,1498133606.6
69,2013,26,808683718.9
69,2013,27,2693826500.0
69,2014,17,1173164187.6
69,2014,18,1828832375.0
69,2014,19,201816984.1
69,2014,20,266071306.1
69,2014,21,357289066.6
69,2014,22,1168313653.1
69,2014,23,3862602144.0
69,2014,24,1560717914.3
69,2014,25,1507661870.0
69,2014,26,821441593.8
69,2014,27,2724179125.0
69,2015,17,1184008203.3
69,2015,18,1845262687.5
69,2015,19,204010218.1
69,2015,20,268962820.1
69,2015,21,363251412.7
69,2015,22,1181260906.3
69,2015,23,3900359098.0
69,2015,24,1577809967.0
69,2015,25,1524945565.6
69,2015,26,833292906.2
69,2015,27,2759268687.5
69,2016,17,1195526781.4
69,2016,18,1860138875.0
69,2016,19,206707813.0
69,2016,20,272519273.0
69,2016,21,369254075.4
69,2016,22,1194782366.3
69,2016,23,3939875865.0
69,2016,24,1602020121.1
69,2016,25,1548506250.0
69,2016,26,845625281.3
69,2016,27,2802347312.5
