Constraint Name,Child Column,Parent Column,Delete Rule
DemandEnergyEfficiencyMeasuresCost_interpolation_method_id_fkey,DemandEnergyEfficiencyMeasuresCost.interpolation_method_id,CleaningMethods.id,Restrict delete 
DemandEnergyEfficiencyMeasuresCost_other_index_1_id_fkey,DemandEnergyEfficiencyMeasuresCost.other_index_1_id,OtherIndexes.id,Restrict delete 
DemandEnergyEfficiencyMeasuresCost_other_index_2_id_fkey,DemandEnergyEfficiencyMeasuresCost.other_index_2_id,OtherIndexes.id,Restrict delete 
DemandEnergyEfficiencyMeasuresCost_parent_id_fkey,DemandEnergyEfficiencyMeasuresCost.parent_id,DemandEnergyEfficiencyMeasures.id,Cascade on delete 
DemandEnergyEfficiencyMeasuresCostData_final_energy_id_fkey,DemandEnergyEfficiencyMeasuresCostData.final_energy_id,FinalEnergy.id,Restrict delete 
DemandEnergyEfficiencyMeasuresCostData_gau_id_fkey,DemandEnergyEfficiencyMeasuresCostData.gau_id,GeographiesData.id,Restrict delete 
DemandEnergyEfficiencyMeasuresCostData_oth_1_id_fkey,DemandEnergyEfficiencyMeasuresCostData.oth_1_id,OtherIndexesData.id,Restrict delete 
DemandEnergyEfficiencyMeasuresCostData_oth_2_id_fkey,DemandEnergyEfficiencyMeasuresCostData.oth_2_id,OtherIndexesData.id,Restrict delete 
DemandEnergyEfficiencyMeasuresCostData_parent_id_fkey,DemandEnergyEfficiencyMeasuresCostData.parent_id,DemandEnergyEfficiencyMeasures.id,Cascade on delete 
DemandEnergyEfficiencyMeasuresData_final_energy_id_fkey,DemandEnergyEfficiencyMeasuresData.final_energy_id,FinalEnergy.id,Restrict delete 
DemandEnergyEfficiencyMeasuresData_gau_id_fkey,DemandEnergyEfficiencyMeasuresData.gau_id,GeographiesData.id,Restrict delete 
DemandEnergyEfficiencyMeasuresData_oth_1_id_fkey,DemandEnergyEfficiencyMeasuresData.oth_1_id,OtherIndexesData.id,Restrict delete 
DemandEnergyEfficiencyMeasuresData_oth_2_id_fkey,DemandEnergyEfficiencyMeasuresData.oth_2_id,OtherIndexesData.id,Restrict delete 
DemandEnergyEfficiencyMeasuresData_parent_id_fkey,DemandEnergyEfficiencyMeasuresData.parent_id,DemandEnergyEfficiencyMeasures.id,Cascade on delete 
DemandFlexibleLoadMeasurePackages_subsector_id_fkey,DemandFlexibleLoadMeasurePackages.subsector_id,DemandSubsectors.id,Restrict delete 
DemandFlexibleLoadMeasurePackagesData_measure_id_fkey,DemandFlexibleLoadMeasurePackagesData.measure_id,DemandFlexibleLoadMeasures.id,Restrict delete 
DemandFlexibleLoadMeasurePackagesData_package_id_fkey,DemandFlexibleLoadMeasurePackagesData.package_id,DemandFlexibleLoadMeasurePackages.id,Cascade on delete 
DemandFlexibleLoadMeasures_extrapolation_method_id_fkey,DemandFlexibleLoadMeasures.extrapolation_method_id,CleaningMethods.id,Restrict delete 
DemandFlexibleLoadMeasures_geography_id_fkey,DemandFlexibleLoadMeasures.geography_id,Geographies.id,Restrict delete 
DemandFlexibleLoadMeasures_interpolation_method_id_fkey,DemandFlexibleLoadMeasures.interpolation_method_id,CleaningMethods.id,Restrict delete 
DemandFlexibleLoadMeasures_other_index_1_id_fkey,DemandFlexibleLoadMeasures.other_index_1_id,OtherIndexes.id,Restrict delete 
DemandFlexibleLoadMeasures_subsector_id_fkey,DemandFlexibleLoadMeasures.subsector_id,DemandSubsectors.id,Restrict delete 
DemandFlexibleLoadMeasuresData_parent_id_fkey,DemandFlexibleLoadMeasuresData.parent_id,DemandFlexibleLoadMeasures.id,Cascade on delete 
DemandFuelSwitchingMeasurePackages_subsector_id_fkey,DemandFuelSwitchingMeasurePackages.subsector_id,DemandSubsectors.id,Restrict delete 
DemandFuelSwitchingMeasurePackagesData_measure_id_fkey,DemandFuelSwitchingMeasurePackagesData.measure_id,DemandFuelSwitchingMeasures.id,Restrict delete 
DemandFuelSwitchingMeasurePackagesData_package_id_fkey,DemandFuelSwitchingMeasurePackagesData.package_id,DemandFuelSwitchingMeasurePackages.id,Cascade on delete 
DemandFuelSwitchingMeasures_final_energy_from_id_fkey,DemandFuelSwitchingMeasures.final_energy_from_id,FinalEnergy.id,Restrict delete 
DemandFuelSwitchingMeasures_final_energy_to_id_fkey,DemandFuelSwitchingMeasures.final_energy_to_id,FinalEnergy.id,Restrict delete 
DemandFuelSwitchingMeasures_stock_decay_function_id_fkey,DemandFuelSwitchingMeasures.stock_decay_function_id,StockDecayFunctions.id,Restrict delete 
DemandFuelSwitchingMeasures_subsector_id_fkey,DemandFuelSwitchingMeasures.subsector_id,DemandSubsectors.id,Restrict delete 
DemandFuelSwitchingMeasuresCost_currency_id_fkey,DemandFuelSwitchingMeasuresCost.currency_id,Currencies.id,Restrict delete 
DemandFuelSwitchingMeasuresCost_currency_year_id_fkey,DemandFuelSwitchingMeasuresCost.currency_year_id,CurrencyYears.id,Restrict delete 
DemandFuelSwitchingMeasuresCost_extrapolation_method_id_fkey,DemandFuelSwitchingMeasuresCost.extrapolation_method_id,CleaningMethods.id,Restrict delete 
DemandFuelSwitchingMeasuresCost_geography_id_fkey,DemandFuelSwitchingMeasuresCost.geography_id,Geographies.id,Restrict delete 
DemandFuelSwitchingMeasuresCost_interpolation_method_id_fkey,DemandFuelSwitchingMeasuresCost.interpolation_method_id,CleaningMethods.id,Restrict delete 
DemandFuelSwitchingMeasuresCost_other_index_1_id_fkey,DemandFuelSwitchingMeasuresCost.other_index_1_id,OtherIndexes.id,Restrict delete 
DemandFuelSwitchingMeasuresCost_other_index_2_id_fkey,DemandFuelSwitchingMeasuresCost.other_index_2_id,OtherIndexes.id,Restrict delete 
DemandFuelSwitchingMeasuresCost_parent_id_fkey,DemandFuelSwitchingMeasuresCost.parent_id,DemandFuelSwitchingMeasures.id,Cascade on delete 
DemandFuelSwitchingMeasuresCostData_gau_id_fkey,DemandFuelSwitchingMeasuresCostData.gau_id,GeographiesData.id,Restrict delete 
DemandFuelSwitchingMeasuresCostData_oth_1_id_fkey,DemandFuelSwitchingMeasuresCostData.oth_1_id,OtherIndexesData.id,Restrict delete 
