census region,year,housing types,value
69,2003,29,3467305003.74
69,2003,30,1753861327.57
69,2004,28,29785405359.3
69,2004,29,3530859030.75
69,2004,30,1818119403.17
69,2005,28,30240511291.7
69,2005,29,3596371160.63
69,2005,30,1884201069.07
69,2006,28,30715699571.9
69,2006,29,3664574046.79
69,2006,30,1952535912.18
69,2007,28,31189663378.1
69,2007,29,3732938406.65
69,2007,30,2021811748.68
69,2008,28,31664312273.3
69,2008,29,3801690035.86
69,2008,30,2092143250.71
69,2009,28,32126914962.9
69,2009,29,3869294316.97
69,2009,30,2162669124.44
69,2010,28,32581148207.9
69,2010,29,3936179891.54
69,2010,30,2233589905.45
69,2011,28,33018522138.5
69,2011,29,4001306616.05
69,2011,30,2304275643.45
69,2012,28,33459210454.3
69,2012,29,4067106043.59
69,2012,30,2376090579.25
69,2013,28,33906274684.0
69,2013,29,4133953305.52
69,2013,30,2449262030.09
69,2014,28,34359366097.8
69,2014,29,4201810972.05
69,2014,30,2523781660.79
69,2015,28,34829148849.9
69,2015,29,4271991849.54
69,2015,30,2600461552.55
69,2016,28,35298777461.8
69,2016,29,4342440002.2
69,2016,30,2678077943.68
