census region,housing types,technology,vintage,2009,2010,2011,2012,2013,2014,2015,2016
66,30,38,2009,2449788.61624,2449788.61624,2449788.61624,2449788.61624,2449788.61624,2449788.61624,2449788.61624,2449788.61624
66,30,38,2010,0.0,12420375.742,12420375.742,12420375.742,12420375.742,12420375.742,12420375.742,12420375.742
66,30,38,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,38,2012,0.0,0.0,0.0,3120556.74568,3120556.74568,3120556.74568,3120556.74568,3120556.74568
66,30,38,2013,0.0,0.0,0.0,0.0,260980.701827,260980.701827,260980.701827,260980.701827
66,30,38,2014,0.0,0.0,0.0,0.0,0.0,2437757.5764,2437757.5764,2437757.5764
66,30,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,12461262.7894,12461262.7894
66,30,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2009,97855800.9886,97855800.9886,97855800.9886,97855800.9886,97855800.9886,97855800.9886,97855800.9886,97855800.9886
67,28,29,2010,0.0,107954.86339,107954.86339,107954.86339,107954.86339,107954.86339,107954.86339,107954.86339
67,28,29,2011,0.0,0.0,7268770.04873,7268770.04873,7268770.04873,7268770.04873,7268770.04873,7268770.04873
67,28,29,2012,0.0,0.0,0.0,28742012.9426,28742012.9426,28742012.9426,28742012.9426,28742012.9426
67,28,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2014,0.0,0.0,0.0,0.0,0.0,100939567.409,100939567.409,100939567.409
67,28,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,111356.885337,111356.885337
67,28,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7497833.51523
67,28,31,2009,38322855.0667,38322855.0667,38322855.0667,38322855.0667,38322855.0667,38322855.0667,38322855.0667,38322855.0667
67,28,31,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,31,2011,0.0,0.0,133413029.404,133413029.404,133413029.404,133413029.404,133413029.404,133413029.404
67,28,31,2012,0.0,0.0,0.0,147181.722681,147181.722681,147181.722681,147181.722681,147181.722681
67,28,31,2013,0.0,0.0,0.0,0.0,9909975.92829,9909975.92829,9909975.92829,9909975.92829
67,28,31,2014,0.0,0.0,0.0,0.0,0.0,38325830.0717,38325830.0717,38325830.0717
67,28,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133016160.172
67,28,33,2009,110057.921362,110057.921362,110057.921362,110057.921362,110057.921362,110057.921362,110057.921362,110057.921362
67,28,33,2010,0.0,7410372.23614,7410372.23614,7410372.23614,7410372.23614,7410372.23614,7410372.23614,7410372.23614
67,28,33,2011,0.0,0.0,28755121.2181,28755121.2181,28755121.2181,28755121.2181,28755121.2181,28755121.2181
67,28,33,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2013,0.0,0.0,0.0,0.0,99491259.6824,99491259.6824,99491259.6824,99491259.6824
67,28,33,2014,0.0,0.0,0.0,0.0,0.0,109759.107166,109759.107166,109759.107166
67,28,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,7390252.60827,7390252.60827
67,28,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28786286.4241
67,28,35,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,35,2010,0.0,52294840.7499,52294840.7499,52294840.7499,52294840.7499,52294840.7499,52294840.7499,52294840.7499
67,28,35,2011,0.0,0.0,57691.8520123,57691.8520123,57691.8520123,57691.8520123,57691.8520123,57691.8520123
67,28,35,2012,0.0,0.0,0.0,3884482.76245,3884482.76245,3884482.76245,3884482.76245,3884482.76245
67,28,35,2013,0.0,0.0,0.0,0.0,15204265.1579,15204265.1579,15204265.1579,15204265.1579
67,28,35,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,52440116.9139,52440116.9139
67,28,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57852.1211867
67,28,38,2009,44586614.3134,44586614.3134,44586614.3134,44586614.3134,44586614.3134,44586614.3134,44586614.3134,44586614.3134
67,28,38,2010,0.0,174816939.645,174816939.645,174816939.645,174816939.645,174816939.645,174816939.645,174816939.645
67,28,38,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,38,2012,0.0,0.0,0.0,598169575.523,598169575.523,598169575.523,598169575.523,598169575.523
67,28,38,2013,0.0,0.0,0.0,0.0,659902.776917,659902.776917,659902.776917,659902.776917
67,28,38,2014,0.0,0.0,0.0,0.0,0.0,44432287.6181,44432287.6181,44432287.6181
67,28,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,176129267.662,176129267.662
67,28,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,29,2009,25410916.1925,25410916.1925,25410916.1925,25410916.1925,25410916.1925,25410916.1925,25410916.1925,25410916.1925
67,29,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,29,2011,0.0,0.0,832137.429219,832137.429219,832137.429219,832137.429219,832137.429219,832137.429219
67,29,29,2012,0.0,0.0,0.0,10555940.7011,10555940.7011,10555940.7011,10555940.7011,10555940.7011
67,29,29,2013,0.0,0.0,0.0,0.0,167027.758552,167027.758552,167027.758552,167027.758552
67,29,29,2014,0.0,0.0,0.0,0.0,0.0,26234290.3484,26234290.3484,26234290.3484
67,29,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859100.662191
67,29,31,2009,14074643.0174,14074643.0174,14074643.0174,14074643.0174,14074643.0174,14074643.0174,14074643.0174,14074643.0174
67,29,31,2010,0.0,222703.848598,222703.848598,222703.848598,222703.848598,222703.848598,222703.848598,222703.848598
67,29,31,2011,0.0,0.0,34661815.3269,34661815.3269,34661815.3269,34661815.3269,34661815.3269,34661815.3269
67,29,31,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,31,2013,0.0,0.0,0.0,0.0,1135078.86452,1135078.86452,1135078.86452,1135078.86452
67,29,31,2014,0.0,0.0,0.0,0.0,0.0,14075607.3048,14075607.3048,14075607.3048
67,29,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,222707.656581,222707.656581
67,29,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34546273.4212
67,29,33,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,33,2010,0.0,848471.389304,848471.389304,848471.389304,848471.389304,848471.389304,848471.389304,848471.389304
67,29,33,2011,0.0,0.0,10560198.3979,10560198.3979,10560198.3979,10560198.3979,10560198.3979,10560198.3979
67,29,33,2012,0.0,0.0,0.0,167046.704109,167046.704109,167046.704109,167046.704109,167046.704109
67,29,33,2013,0.0,0.0,0.0,0.0,25824848.4778,25824848.4778,25824848.4778,25824848.4778
67,29,33,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,845692.570054,845692.570054
67,29,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10570345.7212
67,29,35,2009,88045.9737025,88045.9737025,88045.9737025,88045.9737025,88045.9737025,88045.9737025,88045.9737025,88045.9737025
67,29,35,2010,0.0,13563582.8654,13563582.8654,13563582.8654,13563582.8654,13563582.8654,13563582.8654,13563582.8654
67,29,35,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,35,2012,0.0,0.0,0.0,444169.934334,444169.934334,444169.934334,444169.934334,444169.934334
67,29,35,2013,0.0,0.0,0.0,0.0,5581515.45024,5581515.45024,5581515.45024,5581515.45024
67,29,35,2014,0.0,0.0,0.0,0.0,0.0,88111.5043975,88111.5043975,88111.5043975
67,29,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,13590165.2375,13590165.2375
67,29,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,38,2009,5094082.33999,5094082.33999,5094082.33999,5094082.33999,5094082.33999,5094082.33999,5094082.33999,5094082.33999
67,29,38,2010,0.0,64143569.0917,64143569.0917,64143569.0917,64143569.0917,64143569.0917,64143569.0917,64143569.0917
67,29,38,2011,0.0,0.0,1010074.30093,1010074.30093,1010074.30093,1010074.30093,1010074.30093,1010074.30093
67,29,38,2012,0.0,0.0,0.0,154841093.973,154841093.973,154841093.973,154841093.973,154841093.973
67,29,38,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,38,2014,0.0,0.0,0.0,0.0,0.0,5070618.81987,5070618.81987,5070618.81987
67,29,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,64571757.075,64571757.075
67,29,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012811.2163
67,30,29,2009,2853251.8713,2853251.8713,2853251.8713,2853251.8713,2853251.8713,2853251.8713,2853251.8713,2853251.8713
67,30,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,29,2011,0.0,0.0,619792.169379,619792.169379,619792.169379,619792.169379,619792.169379,619792.169379
67,30,29,2012,0.0,0.0,0.0,3098050.38977,3098050.38977,3098050.38977,3098050.38977,3098050.38977
67,30,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,29,2014,0.0,0.0,0.0,0.0,0.0,2951079.46007,2951079.46007,2951079.46007
67,30,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641042.579859
67,30,31,2009,4130745.93048,4130745.93048,4130745.93048,4130745.93048,4130745.93048,4130745.93048,4130745.93048,4130745.93048
67,30,31,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,31,2011,0.0,0.0,3896797.6477,3896797.6477,3896797.6477,3896797.6477,3896797.6477,3896797.6477
67,30,31,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,31,2013,0.0,0.0,0.0,0.0,846474.400662,846474.400662,846474.400662,846474.400662
67,30,31,2014,0.0,0.0,0.0,0.0,0.0,4130956.72052,4130956.72052,4130956.72052
67,30,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3882327.52918
67,30,33,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,33,2010,0.0,632498.367675,632498.367675,632498.367675,632498.367675,632498.367675,632498.367675,632498.367675
67,30,33,2011,0.0,0.0,3098986.82047,3098986.82047,3098986.82047,3098986.82047,3098986.82047,3098986.82047
67,30,33,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,33,2013,0.0,0.0,0.0,0.0,2900670.64824,2900670.64824,2900670.64824,2900670.64824
67,30,33,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,630092.622319,630092.622319
67,30,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3101234.43614
67,30,35,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,35,2010,0.0,1522439.63991,1522439.63991,1522439.63991,1522439.63991,1522439.63991,1522439.63991,1522439.63991
67,30,35,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,35,2012,0.0,0.0,0.0,330709.032967,330709.032967,330709.032967,330709.032967,330709.032967
67,30,35,2013,0.0,0.0,0.0,0.0,1636716.51543,1636716.51543,1636716.51543,1636716.51543
67,30,35,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,1524678.0879,1524678.0879
67,30,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,38,2009,3790972.40702,3790972.40702,3790972.40702,3790972.40702,3790972.40702,3790972.40702,3790972.40702,3790972.40702
67,30,38,2010,0.0,18791352.5843,18791352.5843,18791352.5843,18791352.5843,18791352.5843,18791352.5843,18791352.5843
67,30,38,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,38,2012,0.0,0.0,0.0,17355472.1491,17355472.1491,17355472.1491,17355472.1491,17355472.1491
67,30,38,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,30,38,2014,0.0,0.0,0.0,0.0,0.0,3770009.17518,3770009.17518,3770009.17518
67,30,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,18886838.7523,18886838.7523
67,30,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,28,29,2009,76136486.3006,76136486.3006,76136486.3006,76136486.3006,76136486.3006,76136486.3006,76136486.3006,76136486.3006
68,28,29,2010,0.0,456298.546624,456298.546624,456298.546624,456298.546624,456298.546624,456298.546624,456298.546624
68,28,29,2011,0.0,0.0,6415219.18372,6415219.18372,6415219.18372,6415219.18372,6415219.18372,6415219.18372
68,28,29,2012,0.0,0.0,0.0,98035943.7803,98035943.7803,98035943.7803,98035943.7803,98035943.7803
68,28,29,2013,0.0,0.0,0.0,0.0,109169.724316,109169.724316,109169.724316,109169.724316
68,28,29,2014,0.0,0.0,0.0,0.0,0.0,85741842.8929,85741842.8929,85741842.8929
68,28,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,513865.036304,513865.036304
68,28,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7224561.33847
68,28,31,2009,130714922.432,130714922.432,130714922.432,130714922.432,130714922.432,130714922.432,130714922.432,130714922.432
68,28,31,2010,0.0,145559.72617,145559.72617,145559.72617,145559.72617,145559.72617,145559.72617,145559.72617
68,28,31,2011,0.0,0.0,113337713.594,113337713.594,113337713.594,113337713.594,113337713.594,113337713.594
68,28,31,2012,0.0,0.0,0.0,679251.650599,679251.650599,679251.650599,679251.650599,679251.650599
68,28,31,2013,0.0,0.0,0.0,0.0,9549774.48808,9549774.48808,9549774.48808,9549774.48808
68,28,31,2014,0.0,0.0,0.0,0.0,0.0,130720906.725,130720906.725,130720906.725
68,28,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,145561.840239,145561.840239
68,28,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113180985.985
68,28,33,2009,508734.267102,508734.267102,508734.267102,508734.267102,508734.267102,508734.267102,508734.267102,508734.267102
68,28,33,2010,0.0,7152426.52837,7152426.52837,7152426.52837,7152426.52837,7152426.52837,7152426.52837,7152426.52837
68,28,33,2011,0.0,0.0,98064488.3076,98064488.3076,98064488.3076,98064488.3076,98064488.3076,98064488.3076
68,28,33,2012,0.0,0.0,0.0,109180.499001,109180.499001,109180.499001,109180.499001,109180.499001
68,28,33,2013,0.0,0.0,0.0,0.0,84958438.6202,84958438.6202,84958438.6202,84958438.6202
68,28,33,2014,0.0,0.0,0.0,0.0,0.0,509169.965013,509169.965013,509169.965013
68,28,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,7158552.11789,7158552.11789
68,28,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98138975.9866
68,28,35,2009,57544.3884356,57544.3884356,57544.3884356,57544.3884356,57544.3884356,57544.3884356,57544.3884356,57544.3884356
68,28,35,2010,0.0,44869089.7868,44869089.7868,44869089.7868,44869089.7868,44869089.7868,44869089.7868,44869089.7868
68,28,35,2011,0.0,0.0,268907.871283,268907.871283,268907.871283,268907.871283,268907.871283,268907.871283
68,28,35,2012,0.0,0.0,0.0,3780645.25358,3780645.25358,3780645.25358,3780645.25358,3780645.25358
68,28,35,2013,0.0,0.0,0.0,0.0,51802329.4295,51802329.4295,51802329.4295,51802329.4295
68,28,35,2014,0.0,0.0,0.0,0.0,0.0,57583.6167863,57583.6167863,57583.6167863
68,28,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,45200118.2029,45200118.2029
68,28,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270891.779295
