census region,air conditioning type,housing types,technology,year,value
66,64,30,10,2013,0.0
66,64,30,10,2014,0.0
66,64,30,10,2015,0.0
66,64,30,10,2016,0.0
67,63,28,10,2000,150341.234203
67,63,28,10,2001,151073.340061
67,63,28,10,2002,151700.246664
67,63,28,10,2003,152328.650643
67,63,28,10,2004,152884.141903
67,63,28,10,2005,153392.614624
67,63,28,10,2006,153982.963403
67,63,28,10,2007,154578.849688
67,63,28,10,2008,155066.848732
67,63,28,10,2009,155569.962122
67,63,28,10,2010,155990.659042
67,63,28,10,2011,156280.434809
67,63,28,10,2012,156543.852459
67,63,28,10,2013,156802.020251
67,63,28,10,2014,157075.640943
67,63,28,10,2015,157457.281312
67,63,28,10,2016,157855.729537
67,63,29,10,2000,0.0
67,63,29,10,2001,0.0
67,63,29,10,2002,0.0
67,63,29,10,2003,0.0
67,63,29,10,2004,0.0
67,63,29,10,2005,0.0
67,63,29,10,2006,0.0
67,63,29,10,2007,0.0
67,63,29,10,2008,0.0
67,63,29,10,2009,0.0
67,63,29,10,2010,0.0
67,63,29,10,2011,0.0
67,63,29,10,2012,0.0
67,63,29,10,2013,0.0
67,63,29,10,2014,0.0
67,63,29,10,2015,0.0
67,63,29,10,2016,0.0
67,63,30,10,2000,0.0
67,63,30,10,2001,0.0
67,63,30,10,2002,0.0
67,63,30,10,2003,0.0
67,63,30,10,2004,0.0
67,63,30,10,2005,0.0
67,63,30,10,2006,0.0
67,63,30,10,2007,0.0
67,63,30,10,2008,0.0
67,63,30,10,2009,0.0
67,63,30,10,2010,0.0
67,63,30,10,2011,0.0
67,63,30,10,2012,0.0
67,63,30,10,2013,0.0
67,63,30,10,2014,0.0
67,63,30,10,2015,0.0
67,63,30,10,2016,0.0
67,64,28,10,2000,0.0
67,64,28,10,2001,0.0
67,64,28,10,2002,0.0
67,64,28,10,2003,0.0
67,64,28,10,2004,0.0
67,64,28,10,2005,0.0
67,64,28,10,2006,0.0
67,64,28,10,2007,0.0
67,64,28,10,2008,0.0
67,64,28,10,2009,0.0
67,64,28,10,2010,0.0
67,64,28,10,2011,0.0
67,64,28,10,2012,0.0
67,64,28,10,2013,0.0
67,64,28,10,2014,0.0
67,64,28,10,2015,0.0
67,64,28,10,2016,0.0
67,64,29,10,2000,0.0
67,64,29,10,2001,0.0
67,64,29,10,2002,0.0
67,64,29,10,2003,0.0
67,64,29,10,2004,0.0
67,64,29,10,2005,0.0
67,64,29,10,2006,0.0
67,64,29,10,2007,0.0
67,64,29,10,2008,0.0
67,64,29,10,2009,0.0
67,64,29,10,2010,0.0
67,64,29,10,2011,0.0
67,64,29,10,2012,0.0
67,64,29,10,2013,0.0
67,64,29,10,2014,0.0
67,64,29,10,2015,0.0
67,64,29,10,2016,0.0
67,64,30,10,2000,0.0
67,64,30,10,2001,0.0
67,64,30,10,2002,0.0
67,64,30,10,2003,0.0
67,64,30,10,2004,0.0
67,64,30,10,2005,0.0
67,64,30,10,2006,0.0
67,64,30,10,2007,0.0
67,64,30,10,2008,0.0
67,64,30,10,2009,0.0
67,64,30,10,2010,0.0
67,64,30,10,2011,0.0
67,64,30,10,2012,0.0
67,64,30,10,2013,0.0
67,64,30,10,2014,0.0
67,64,30,10,2015,0.0
67,64,30,10,2016,0.0
68,63,28,10,2000,171758.101723
68,63,28,10,2001,173972.480194
