intersection_id,geography_map_key_id,value,id
45,93,2.80690685028e+13,14305
46,93,1.40781025528e+11,14306
47,93,1.19652312484e+11,14307
48,93,5022147901.73,14308
49,93,1.09756403163e+13,14309
50,93,1.22329805431e+12,14310
51,93,6.05821334437e+11,14311
52,93,0.0,14312
53,93,35024960473.6,14313
54,93,5.28681141574e+11,14314
55,93,7.58828540267e+13,14315
56,93,2.25599529263e+13,14316
57,93,487713230.234,14317
58,93,2.32244392396e+14,14318
59,93,6.68976745047e+12,14319
60,93,832611513.237,14320
61,93,832611513.237,14321
62,93,1.41069710197e+13,14322
63,93,2.87293168419e+11,14323
64,93,6.92274066453e+12,14324
65,93,8.06694703802e+11,14325
66,93,1.5806602884e+14,14326
67,93,8.10547308136e+12,14327
68,93,7.37027711517e+12,14328
69,93,5.15303265542e+12,14329
70,93,4.03660289803e+13,14330
71,93,2.99442593355e+13,14331
72,93,4.22160624002e+12,14332
73,93,15973872145.2,14333
74,93,2.32111618979e+12,14334
75,93,1.63175204364e+13,14335
76,93,1.94831094097e+11,14336
77,93,5.12947773606e+12,14337
78,93,2.629e+12,14338
79,93,1.5055e+13,14339
80,93,67000000000.0,14340
81,93,808966607.493,14341
82,93,30000000000.0,14342
83,93,1.1668e+13,14343
84,93,2522263943.22,14344
85,93,1.38155895061e+13,14345
86,93,1.29e+11,14346
87,93,6.49359660033e+12,14347
88,93,4.77560043115e+11,14348
89,93,1.31061009927e+12,14349
90,93,8205232733.14,14350
91,93,6.80140008793e+13,14351
92,93,2.21680958466e+11,14352
93,93,3745922793.17,14353
94,93,7.12160283829e+13,14354
95,93,6.95150997392e+12,14355
96,93,80403399668.3,14356
97,93,14648032.6495,14357
98,93,5.53465076566e+13,14358
99,93,33195197358.5,14359
100,93,9.42582725157e+13,14360
101,93,4028195858.51,14361
102,93,0.0,14362
103,93,1025115963.34,14363
104,93,2974884036.66,14364
105,93,4.92277829502e+11,14365
106,93,87340134623.5,14366
107,93,81616333809.8,14367
108,93,1.41022815562e+13,14368
109,93,4.71852635659e+12,14369
110,93,4.24074934106e+12,14370
111,93,4.42990960327e+12,14371
112,93,1.17223612002e+12,14372
113,93,56978570926.7,14373
114,93,1407178169.13,14374
115,93,1.14465485005e+12,14375
116,93,3.37329367641e+13,14376
117,93,36821162092.3,14377
118,93,1.02734e+14,14378
119,93,1.46817789008e+14,14379
120,93,5.20483093712e+13,14380
121,93,7.83581854465e+12,14381
122,93,6.76910869805e+12,14382
123,93,6.46816082697e+13,14383
124,93,1.59896097458e+13,14384
125,93,2.16082887361e+14,14385
126,93,1.20332169293e+13,14386
127,93,52425308852.4,14387
128,93,8.74326702422e+11,14388
129,93,2.20276002611e+14,14389
130,93,2.08219295422e+13,14390
131,93,1.23166328587e+13,14391
132,93,1.03998048026e+13,14392
133,93,5.27976196632e+13,14393
134,93,29418888625.4,14394
135,93,2.37813110584e+11,14395
136,93,1.71293967456e+13,14396
137,93,19836526275.6,14397
138,93,1.25106323594e+12,14398
139,93,17829629470.0,14399
140,93,4.87954436283e+13,14400
141,93,8.83319293944e+11,14401
142,93,2.36652387538e+14,14402
143,93,1.21038616679e+13,14403
144,93,84433324196.0,14404
145,93,3.40457376834e+13,14405
146,93,17389900732.9,14406
147,93,6.82675363397e+12,14407
148,93,24069578462.2,14408
149,93,9.16687758603e+11,14409
150,93,26643568423.6,14410
151,93,4563963470.06,14411
152,93,3.98954965294e+14,14412
153,93,1.35715676658e+11,14413
154,93,1.83207837373e+13,14414
155,93,3.72864266059e+12,14415
1,94,18669831.9537,14416
2,94,668542118.777,14417
3,94,21673775094.9,14418
4,94,818566.293085,14419
5,94,8347611334.13,14420
6,94,7156439498.73,14421
7,94,610709.508303,14422
8,94,18458021990.4,14423
9,94,923392776.554,14424
10,94,4072748.12078,14425
11,94,33226505992.3,14426
12,94,1225684273.3,14427
13,94,682145.026885,14428
14,94,15974393168.7,14429
15,94,1199184739.1,14430
16,94,4856718833.92,14431
17,94,1253153.26793,14432
18,94,8223579850.41,14433
19,94,30244059768.8,14434
20,94,45763107576.2,14435
21,94,81943147929.9,14436
22,94,25394852070.1,14437
23,94,1328709.57227,14438
24,94,3408312383.89,14439
25,94,19534490434.3,14440
26,94,20062185831.7,14441
27,94,0.0,14442
28,94,20423371.2513,14443
29,94,3139975039.53,14444
30,94,1297900965.45,14445
31,94,12875065441.9,14446
32,94,763606484.465,14447
33,94,631372896.624,14448
34,94,7376086194.42,14449
35,94,25783121090.3,14450
36,94,89675000000.0,14451
37,94,142931186.846,14452
38,94,37474993.9247,14453
39,94,3620627103.38,14454
40,94,4610108527.13,14455
41,94,455917516.063,14456
42,94,111878909.704,14457
43,94,1342384.71955,14458
44,94,36276545443.2,14459
45,94,1285885196.37,14460
46,94,16293789.369,14461
47,94,139704320.742,14462
48,94,6454556.77512,14463
49,94,409696952.534,14464
50,94,450235834.937,14465
51,94,22614002.2219,14466
52,94,0.0,14467
53,94,6064957.78249,14468
54,94,617280504.147,14469
55,94,53507525006.1,14470
56,94,1033504531.72,14471
57,94,569446.959545,14472
58,94,5.58895081132e+11,14473
59,94,1158406936.46,14474
60,94,684625.409012,14475
61,94,684625.409012,14476
62,94,1559787168.9,14477
63,94,12227503.02,14478
64,94,23215695393.1,14479
65,94,243540589.847,14480
66,94,43960805765.2,14481
67,94,6664828356.73,14482
68,94,6060304120.57,14483
69,94,4237146656.37,14484
70,94,4463212831.1,14485
71,94,1.00419304607e+11,14486
72,94,7877918240.77,14487
73,94,4442600.95509,14488
74,94,1877499255.06,14489
75,94,13417288765.8,14490
76,94,160202345.709,14491
77,94,10770703835.5,14492
78,94,6313000000.0,14493
79,94,35749000000.0,14494
80,94,1941000000.0,14495
81,94,5136241.14467,14496
82,94,3929000000.0,14497
83,94,1292000000.0,14498
84,94,5296164.50744,14499
85,94,87717093143.0,14500
86,94,724000000.0,14501
87,94,0.0,14502
88,94,10020651395.2,14503
89,94,2.01902051746e+11,14504
90,94,52096160.1816,14505
91,94,31776606577.8,14506
92,94,322938966.274,14507
93,94,1221419.01661,14508
94,94,56207315726.7,14509
95,94,11612181433.7,14510
96,94,0.0,14511
97,94,307359.945461,14512
98,94,80627330796.4,14513
99,94,3786282.45535,14514
100,94,1.72381651527e+11,14515
101,94,7366855.30333,14516
102,94,0.0,14517
103,94,16453367490.7,14518
104,94,47747632509.3,14519
105,94,303486460.614,14520
