vintage,census region,technology,final_energy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
2006,67,11,6,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2006,68,11,6,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2006,69,11,6,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2007,66,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2007,67,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2007,68,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2007,69,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2008,66,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2008,67,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2008,68,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2008,69,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2009,66,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2009,67,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2009,68,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2009,69,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444,1.55155272444
2010,66,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53000338105,1.53000338105,1.53000338105,1.53000338105,1.53000338105,1.53000338105,1.53000338105
2010,67,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53000338105,1.53000338105,1.53000338105,1.53000338105,1.53000338105,1.53000338105,1.53000338105
2010,68,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53000338105,1.53000338105,1.53000338105,1.53000338105,1.53000338105,1.53000338105,1.53000338105
2010,69,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53000338105,1.53000338105,1.53000338105,1.53000338105,1.53000338105,1.53000338105,1.53000338105
2011,66,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50845403765,1.50845403765,1.50845403765,1.50845403765,1.50845403765,1.50845403765
2011,67,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50845403765,1.50845403765,1.50845403765,1.50845403765,1.50845403765,1.50845403765
2011,68,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50845403765,1.50845403765,1.50845403765,1.50845403765,1.50845403765,1.50845403765
2011,69,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50845403765,1.50845403765,1.50845403765,1.50845403765,1.50845403765,1.50845403765
2012,66,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48690469426,1.48690469426,1.48690469426,1.48690469426,1.48690469426
2012,67,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48690469426,1.48690469426,1.48690469426,1.48690469426,1.48690469426
2012,68,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48690469426,1.48690469426,1.48690469426,1.48690469426,1.48690469426
2012,69,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48690469426,1.48690469426,1.48690469426,1.48690469426,1.48690469426
2013,66,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086,1.46535535086,1.46535535086,1.46535535086
2013,67,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086,1.46535535086,1.46535535086,1.46535535086
2013,68,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086,1.46535535086,1.46535535086,1.46535535086
2013,69,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086,1.46535535086,1.46535535086,1.46535535086
2014,66,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086,1.46535535086,1.46535535086
2014,67,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086,1.46535535086,1.46535535086
2014,68,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086,1.46535535086,1.46535535086
2014,69,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086,1.46535535086,1.46535535086
2015,66,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086,1.46535535086
2015,67,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086,1.46535535086
2015,68,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086,1.46535535086
2015,69,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086,1.46535535086
2016,66,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086
2016,67,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086
2016,68,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086
2016,69,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46535535086
