census region,air conditioning type,technology,housing types,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,63,42,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348523.975419,348522.531845,348490.394293,348312.412937,347743.596197,346378.991913,343635.393383,338751.068729
66,63,42,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295640.703833,295639.479299,295612.218137,295461.242775,294978.73542,293821.189313,291493.890598
66,63,42,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198989.240186,198988.415979,198970.067092,198868.448904,198543.683841,197764.565075
66,63,42,29,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157936.841056,157936.186887,157921.62346,157840.969573,157583.205042
66,63,42,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125920.750943,125920.229384,125908.618175,125844.314002
66,63,42,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111960.620662,111960.156925,111949.832985
66,63,42,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161211.657362,161210.989629
66,63,42,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159332.102239
66,63,42,30,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,30,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,30,2001,0.0,111449.822364,111449.360743,111439.083905,111382.169626,111200.275326,110763.906767,109886.568075,108324.675196,105786.898438,101957.739811,96539.9557011,89317.6100489,80234.7997033,69474.2768268,57507.9955746,45084.892043
66,63,42,30,2002,0.0,0.0,102631.124975,102630.69988,102621.236218,102568.8254,102401.323862,101999.483866,101191.56641,99753.2615316,97416.2916007,93890.123059,88901.0323073,82250.1696722,73886.0554554,63976.9811768,52957.5566445
66,63,42,30,2003,0.0,0.0,0.0,89217.2023532,89216.8328187,89208.6060604,89163.0453535,89017.436323,88668.1169501,87965.7945779,86715.4766319,84683.9494585,81618.6523336,77281.6374245,71500.0447772,64229.1231072,55615.1681763
66,63,42,30,2004,0.0,0.0,0.0,0.0,54211.9474412,54211.7228972,54206.7239892,54179.0394779,54090.5615958,53878.3011462,53451.541928,52691.7986388,51457.3613167,49594.7639449,46959.4198845,43446.2925004,39028.1891187
66,63,42,30,2005,0.0,0.0,0.0,0.0,0.0,36575.2715934,36575.1200999,36571.7474777,36553.069519,36493.3759879,36350.1698505,36062.2474451,35549.6700806,34716.8300435,33460.1881414,31682.1958482,29311.9879092
