intersection_id,geography_map_key_id,value,id
13,10,7554.0,154
13,11,3244.0,155
13,12,953,156
14,1,26.0,157
14,2,2186,158
14,3,25.0,159
14,4,0,160
14,5,0.0,161
14,6,0.0,162
14,7,0.0,163
14,8,0,164
14,9,10482.0,165
14,10,4627.0,166
14,11,4969.0,167
14,12,1568,168
15,1,291.0,169
15,2,8683,170
15,3,1e-07,171
15,4,18609,172
15,5,12039.4,173
15,6,32.0,174
15,7,0.0,175
15,8,0,176
15,9,11887.6,177
15,10,15395.0,178
15,11,66374.0,179
15,12,10506,180
16,1,6.0,181
16,2,62,182
16,3,1e-07,183
16,4,3,184
16,5,0.0,185
16,6,0.0,186
16,7,0.0,187
16,8,0,188
16,9,4152.0,189
16,10,0.0,190
16,11,362.0,191
16,12,199,192
17,1,10.0,193
17,2,287,194
17,3,1e-07,195
17,4,72,196
17,5,0.0,197
17,6,0.0,198
17,7,0.0,199
17,8,0,200
17,9,10832.0,201
17,10,0.0,202
17,11,4129.0,203
17,12,162,204
18,1,6.0,205
18,2,57,206
18,3,1e-07,207
18,4,109,208
18,5,0.0,209
18,6,0.0,210
18,7,0.0,211
18,8,0,212
18,9,1699.0,213
18,10,0.0,214
18,11,0.0,215
18,12,102,216
19,1,2.0,217
19,2,0,218
19,3,1e-07,219
19,4,54,220
19,5,0.0,221
19,6,0.0,222
19,7,0.0,223
19,8,0,224
19,9,0.0,225
19,10,0.0,226
19,11,2382.0,227
19,12,6,228
20,1,103.0,229
20,2,2411,230
20,3,227.0,231
20,4,656,232
20,5,7688.4,233
20,6,1276.0,234
20,7,0.0,235
20,8,0,236
20,9,33768.72,237
20,10,12272.0,238
20,11,816.0,239
20,12,2562,240
21,1,138.0,241
21,2,3834,242
21,3,1e-07,243
21,4,21,244
21,5,1309.5,245
21,6,6012.0,246
21,7,150.0,247
21,8,400,248
21,9,0.0,249
21,10,112674.0,250
21,11,470.0,251
21,12,1349,252
22,1,49.0,253
22,2,4873,254
22,3,1e-07,255
22,4,414,256
22,5,619.8,257
22,6,0.0,258
22,7,140.0,259
22,8,0,260
22,9,11253.8,261
22,10,8499.0,262
22,11,12085.0,263
22,12,2225,264
23,1,50.0,265
23,2,2976,266
23,3,1e-07,267
23,4,1266,268
23,5,1005.0,269
23,6,1285.0,270
23,7,35.0,271
23,8,0,272
23,9,11873.0,273
23,10,18984.0,274
23,11,6117.0,275
23,12,128,276
24,1,24.0,277
24,2,3,278
24,3,1e-07,279
24,4,531,280
24,5,350.0,281
24,6,403.0,282
24,7,0.0,283
24,8,0,284
24,9,5299.0,285
24,10,4618.0,286
24,11,757.0,287
24,12,707,288
25,1,13.0,289
25,2,4,290
25,3,1e-07,291
25,4,223,292
25,5,0.0,293
25,6,93.0,294
25,7,0.0,295
25,8,0,296
25,9,1369.0,297
25,10,4790.0,298
25,11,433.0,299
25,12,88,300
26,1,233.0,301
26,2,22556,302
