vintage,census region,technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
2004,68,71,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2004,69,71,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2005,66,71,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2005,67,71,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2005,68,71,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2005,69,71,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2006,66,71,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2006,67,71,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2006,68,71,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2006,69,71,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2007,66,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2007,67,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2007,68,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2007,69,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2008,66,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2008,67,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2008,68,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2008,69,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2009,66,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2009,67,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2009,68,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2009,69,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2010,66,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2010,67,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2010,68,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2010,69,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2011,66,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2011,67,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2011,68,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2011,69,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2012,66,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2012,67,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2012,68,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2012,69,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148,642.562497148
2013,66,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148
2013,67,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148
2013,68,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148
2013,69,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148,642.562497148
2014,66,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148
2014,67,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148
2014,68,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148
2014,69,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148,642.562497148
2015,66,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148
2015,67,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148
2015,68,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148
2015,69,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148,642.562497148
2016,66,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148
2016,67,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148
2016,68,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148
2016,69,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.562497148
