timepoint,geography,feeder,distribution_load,flex_load
24,2,3,22898.404831797667,0
24,3,0,0.0,0
24,3,1,187421.8144432283,0
24,3,2,34628.203107185647,0
24,3,3,66462.141590769694,0
25,1,0,0.0,0
25,1,1,340712.65112048405,0
25,1,2,222687.52793960867,0
25,1,3,242559.26278209739,0
25,2,0,0.0,0
25,2,1,31713.316337589065,0
25,2,2,20833.082115001227,0
25,2,3,21424.586429886014,0
25,3,0,0.0,0
25,3,1,154784.06030227445,0
25,3,2,32125.901639326676,0
25,3,3,61855.435416451161,0
26,1,0,0.0,0
26,1,1,275303.66901594342,0
26,1,2,226005.86657058317,0
26,1,3,238202.10507181328,0
26,2,0,0.0,0
26,2,1,24192.524929937528,0
26,2,2,21746.584884001182,0
26,2,3,20795.204747299369,0
26,3,0,0.0,0
26,3,1,122220.31985465165,0
26,3,2,38887.498532884041,0
26,3,3,57904.674049868554,0
27,1,0,0.0,0
27,1,1,230180.20519548858,0
27,1,2,226368.22346675184,0
27,1,3,234828.03230126228,0
27,2,0,0.0,0
27,2,1,17843.096144554111,0
27,2,2,21864.754098574838,0
27,2,3,20417.484218482947,0
27,3,0,0.0,0
27,3,1,95382.106843746384,0
27,3,2,70301.889300834533,0
27,3,3,54729.736106723154,0
28,1,0,0.0,0
28,1,1,221842.28589191951,0
28,1,2,226580.56766584745,0
28,1,3,235935.4405815989,0
28,2,0,0.0,0
28,2,1,14100.823324710536,0
28,2,2,21844.033033706583,0
28,2,3,20098.618205567862,0
28,3,0,0.0,0
28,3,1,77295.628835136347,0
28,3,2,72548.362321114037,0
28,3,3,53342.440529821004,0
29,1,0,0.0,0
29,1,1,233700.68091645394,0
29,1,2,228828.23374124223,0
29,1,3,245130.33745461964,0
29,2,0,0.0,0
29,2,1,14630.403627960755,0
29,2,2,21899.088246968742,0
29,2,3,20444.962031000156,0
29,3,0,0.0,0
29,3,1,63328.064558713268,0
29,3,2,72792.154090109267,0
29,3,3,52425.022608555766,0
30,1,0,0.0,0
30,1,1,272247.1542440044,0
30,1,2,234653.87933470833,0
30,1,3,259361.54448922322,0
30,2,0,0.0,0
30,2,1,16358.215293496962,0
30,2,2,22232.729385761933,0
30,2,3,21707.572535700176,0
30,3,0,0.0,0
30,3,1,57241.700611661749,0
30,3,2,72792.033670247125,0
30,3,3,51986.751941697716,0
31,1,0,0.0,0
31,1,1,369440.50930398115,0
31,1,2,244647.54247151921,0
31,1,3,271028.780136191,0
31,2,0,0.0,0
31,2,1,21354.681295987451,0
31,2,2,22985.773126662814,0
31,2,3,23299.641567637853,0
31,3,0,0.0,0
31,3,1,58278.635188256092,0
31,3,2,73295.266594024972,0
31,3,3,53242.968817875517,0
