geography,gau
county,"gogebic, michigan"
county,"golden valley, montana"
county,"golden valley, north dakota"
county,"goliad, texas"
county,"gonzales, texas"
county,"goochland, virginia"
county,"goodhue, minnesota"
county,"gooding, idaho"
county,"gordon, georgia"
county,"goshen, wyoming"
county,"gosper, nebraska"
county,"gove, kansas"
county,"grady, georgia"
county,"grady, oklahoma"
county,"grafton, new hampshire"
county,"graham, arizona"
county,"graham, kansas"
county,"graham, north carolina"
county,"grainger, tennessee"
county,"grand forks, north dakota"
county,"grand isle, vermont"
county,"grand traverse, michigan"
county,"grand, colorado"
county,"grand, utah"
county,"granite, montana"
county,"grant, arkansas"
county,"grant, indiana"
county,"grant, kansas"
county,"grant, kentucky"
county,"grant, louisiana"
county,"grant, minnesota"
county,"grant, nebraska"
county,"grant, new mexico"
county,"grant, north dakota"
county,"grant, oklahoma"
county,"grant, oregon"
county,"grant, south dakota"
county,"grant, washington"
county,"grant, west virginia"
county,"grant, wisconsin"
county,"granville, north carolina"
county,"gratiot, michigan"
county,"graves, kentucky"
county,"gray, kansas"
county,"gray, texas"
county,"grays harbor, washington"
county,"grayson, kentucky"
county,"grayson, texas"
county,"grayson, virginia"
county,"greeley, kansas"
county,"greeley, nebraska"
county,"green lake, wisconsin"
county,"green, kentucky"
county,"green, wisconsin"
county,"greenbrier, west virginia"
county,"greene, alabama"
county,"greene, arkansas"
county,"greene, georgia"
county,"greene, illinois"
county,"greene, indiana"
county,"greene, iowa"
county,"greene, mississippi"
county,"greene, missouri"
county,"greene, new york"
county,"greene, north carolina"
county,"greene, ohio"
county,"greene, pennsylvania"
county,"greene, tennessee"
county,"greene, virginia"
county,"greenlee, arizona"
county,"greensville, virginia"
county,"greenup, kentucky"
county,"greenville, south carolina"
county,"greenwood, kansas"
