census region,year,housing types,value
69,2004,29,5734492.58975
69,2004,30,1293747.8748
69,2005,28,15693783.2828
69,2005,29,5808884.68732
69,2005,30,1310531.33326
69,2006,28,15904254.5871
69,2006,29,5886788.37152
69,2006,30,1328107.03404
69,2007,28,16113141.2357
69,2007,29,5964105.51248
69,2007,30,1345550.40592
69,2008,28,16321438.2449
69,2008,29,6041204.4048
69,2008,30,1362944.53914
69,2009,28,16522602.0
69,2009,29,6115663.0
69,2009,30,1379743.0
69,2010,28,16718567.2551
69,2010,29,6188197.42646
69,2010,30,1396107.35284
69,2011,28,16905022.2724
69,2011,29,6257211.74095
69,2011,30,1411677.53996
69,2012,28,17092336.4127
69,2012,29,6326544.05054
69,2012,30,1427319.46936
69,2013,28,17282064.389
69,2013,29,6396769.81552
69,2013,30,1443162.96951
69,2014,28,17474012.726
69,2014,29,6467817.42307
69,2014,30,1459191.88398
69,2015,28,17673578.0057
69,2015,29,6541684.35983
69,2015,30,1475856.86191
69,2016,28,17872180.5149
69,2016,29,6615194.93747
69,2016,30,1492441.44234
