supply_node_id,gau,oth_1,resource_bin,year,value,id
60,west south central,,,2018,1.011715,323
60,west south central,,,2019,0.85047,324
60,west south central,,,2020,0.729332,325
60,west south central,,,2021,0.634126,326
60,west south central,,,2022,0.517207,327
60,west south central,,,2023,0.428273,328
60,west south central,,,2024,0.386159,329
60,west south central,,,2025,0.326816,330
60,west south central,,,2026,0.299164,331
60,west south central,,,2027,0.254438,332
60,west south central,,,2028,0.231199,333
60,west south central,,,2029,0.219676,334
60,west south central,,,2030,0.213422,335
60,west south central,,,2031,0.217867,336
60,west south central,,,2032,0.211916,337
60,west south central,,,2033,0.230163,338
60,west south central,,,2034,0.277492,339
60,west south central,,,2035,0.318279,340
60,west south central,,,2036,0.370824,341
60,west south central,,,2037,0.437473,342
60,west south central,,,2038,0.499025,343
60,west south central,,,2039,0.560029,344
