subsector_id,gau,oth_1,oth_2,demand_technology,year,value,id
34,middle atlantic,multi-family,,Reference Distillate Furnace,2009,203501.0,277
34,east north central,multi-family,,Reference Distillate Furnace,2009,10574.0,278
34,west north central,multi-family,,Reference Distillate Furnace,2009,0.0,279
34,south atlantic,multi-family,,Reference Distillate Furnace,2009,0.0,280
34,east south central,multi-family,,Reference Distillate Furnace,2009,0.0,281
34,west south central,multi-family,,Reference Distillate Furnace,2009,0.0,282
34,mountain,multi-family,,Reference Distillate Furnace,2009,0.0,283
34,pacific,multi-family,,Reference Distillate Furnace,2009,0.0,284
34,new england,multi-family,,Reference Distillate Boiler/Radiator,2009,318220.0,285
34,middle atlantic,multi-family,,Reference Distillate Boiler/Radiator,2009,1140000.0,286
34,east north central,multi-family,,Reference Distillate Boiler/Radiator,2009,0.0,287
34,west north central,multi-family,,Reference Distillate Boiler/Radiator,2009,20347.0,288
34,south atlantic,multi-family,,Reference Distillate Boiler/Radiator,2009,15361.0,289
34,east south central,multi-family,,Reference Distillate Boiler/Radiator,2009,0.0,290
34,west south central,multi-family,,Reference Distillate Boiler/Radiator,2009,0.0,291
34,mountain,multi-family,,Reference Distillate Boiler/Radiator,2009,0.0,292
34,pacific,multi-family,,Reference Distillate Boiler/Radiator,2009,0.0,293
34,new england,multi-family,,Cordwood Stoves,2009,0.0,294
34,middle atlantic,multi-family,,Cordwood Stoves,2009,0.0,295
34,east north central,multi-family,,Cordwood Stoves,2009,11026.0,296
34,west north central,multi-family,,Cordwood Stoves,2009,0.0,297
34,south atlantic,multi-family,,Cordwood Stoves,2009,6344.0,298
34,east south central,multi-family,,Cordwood Stoves,2009,0.0,299
34,west south central,multi-family,,Cordwood Stoves,2009,0.0,300
34,mountain,multi-family,,Cordwood Stoves,2009,0.0,301
34,pacific,multi-family,,Cordwood Stoves,2009,0.0,302
34,new england,multi-family,,Reference Geothermal Heat Pump - Heating,2009,0.0,303
34,middle atlantic,multi-family,,Reference Geothermal Heat Pump - Heating,2009,0.0,304
34,east north central,multi-family,,Reference Geothermal Heat Pump - Heating,2009,0.0,305
34,west north central,multi-family,,Reference Geothermal Heat Pump - Heating,2009,0.0,306
34,south atlantic,multi-family,,Reference Geothermal Heat Pump - Heating,2009,0.0,307
34,east south central,multi-family,,Reference Geothermal Heat Pump - Heating,2009,0.0,308
34,west south central,multi-family,,Reference Geothermal Heat Pump - Heating,2009,0.0,309
34,mountain,multi-family,,Reference Geothermal Heat Pump - Heating,2009,0.0,310
34,pacific,multi-family,,Reference Geothermal Heat Pump - Heating,2009,0.0,311
34,new england,mobile home,,Reference Air Source Heat Pump - Heating,2009,0.0,321
34,middle atlantic,mobile home,,Reference Air Source Heat Pump - Heating,2009,0.0,322
34,east north central,mobile home,,Reference Air Source Heat Pump - Heating,2009,0.0,323
34,west north central,mobile home,,Reference Air Source Heat Pump - Heating,2009,9306.0,324
34,south atlantic,mobile home,,Reference Air Source Heat Pump - Heating,2009,626922.0,325
34,east south central,mobile home,,Reference Air Source Heat Pump - Heating,2009,73812.0,326
34,west south central,mobile home,,Reference Air Source Heat Pump - Heating,2009,40129.0,327
34,mountain,mobile home,,Reference Air Source Heat Pump - Heating,2009,106797.0,328
34,pacific,mobile home,,Reference Air Source Heat Pump - Heating,2009,77440.0,329
34,new england,mobile home,,Reference Natural Gas Furnace,2009,15782.0,330
34,middle atlantic,mobile home,,Reference Natural Gas Furnace,2009,65568.0,331
34,east north central,mobile home,,Reference Natural Gas Furnace,2009,326361.0,332
34,west north central,mobile home,,Reference Natural Gas Furnace,2009,216242.0,333
34,south atlantic,mobile home,,Reference Natural Gas Furnace,2009,67720.0,334
34,east south central,mobile home,,Reference Natural Gas Furnace,2009,40422.0,335
34,west south central,mobile home,,Reference Natural Gas Furnace,2009,119192.0,336
34,mountain,mobile home,,Reference Natural Gas Furnace,2009,275044.0,337
34,pacific,mobile home,,Reference Natural Gas Furnace,2009,93811.4,338
34,new england,mobile home,,Reference Natural Gas Boiler/Radiator,2009,3631.0,339
34,middle atlantic,mobile home,,Reference Natural Gas Boiler/Radiator,2009,0.0,340
34,east north central,mobile home,,Reference Natural Gas Boiler/Radiator,2009,0.0,341
34,west north central,mobile home,,Reference Natural Gas Boiler/Radiator,2009,16907.0,342
34,south atlantic,mobile home,,Reference Natural Gas Boiler/Radiator,2009,63301.0,343
34,east south central,mobile home,,Reference Natural Gas Boiler/Radiator,2009,15637.0,344
34,west south central,mobile home,,Reference Natural Gas Boiler/Radiator,2009,0.0,345
