service_link,gau,oth_1,oth_2,vintage,value,id
36,pacific,single-family,,2017,0.9005,871
36,pacific,single-family,,2010,0.901991,872
36,new england,single-family,,2010,0.9595,873
36,new england,single-family,,2011,0.9635,874
36,new england,single-family,,2012,0.9635,875
36,new england,single-family,,2013,0.9635,876
36,new england,single-family,,2014,0.9635,877
36,new england,single-family,,2017,0.9635,878
36,new england,mobile home,,2010,1.0437,879
36,south atlantic,mobile home,,2010,1.05094,880
36,new england,multi-family,,2010,1.14671,881
36,middle atlantic,mobile home,,2010,1.13531,882
36,east north central,multi-family,,2010,1.0823,883
36,east north central,mobile home,,2010,1.1047,884
36,west north central,mobile home,,2010,1.0722,885
36,south atlantic,multi-family,,2010,1.11364,886
36,east south central,mobile home,,2010,1.05681,887
36,east south central,mobile home,,2011,1.0754,888
36,east south central,mobile home,,2012,1.0754,889
36,east south central,mobile home,,2013,1.0754,890
36,east south central,mobile home,,2014,1.0754,891
36,east south central,mobile home,,2017,1.0754,892
36,west south central,mobile home,,2010,1.07393,893
36,mountain,mobile home,,2010,1.1181,894
36,pacific,mobile home,,2010,1.13424,895
36,pacific,mobile home,,2011,1.1437,896
36,pacific,mobile home,,2012,1.1437,897
36,pacific,mobile home,,2013,1.1437,898
36,pacific,mobile home,,2014,1.1437,899
36,pacific,mobile home,,2017,1.1437,900
36,middle atlantic,mobile home,,2011,1.1524,901
36,middle atlantic,mobile home,,2012,1.1524,902
36,middle atlantic,mobile home,,2013,1.1524,903
36,middle atlantic,mobile home,,2014,1.1524,904
36,middle atlantic,mobile home,,2017,1.1524,905
36,middle atlantic,multi-family,,2010,1.17491,906
36,west north central,multi-family,,2010,1.15057,907
36,east south central,multi-family,,2010,1.15566,908
36,west south central,multi-family,,2010,1.16084,909
36,mountain,multi-family,,2010,1.27072,910
36,pacific,multi-family,,2010,1.20221,911
37,middle atlantic,single-family,,2017,0.82755,912
37,middle atlantic,single-family,,2010,0.83231,913
37,middle atlantic,single-family,,2011,0.83231,914
37,middle atlantic,single-family,,2012,0.83231,915
37,middle atlantic,single-family,,2013,0.83231,916
