parent,gau,demand_sector,resource_bin,year,value,id,sensitivity
delivery - capital,new england,residential,,2023,8.776,333,
delivery - capital,new england,residential,,2024,8.816,334,
delivery - capital,new england,residential,,2025,8.847,335,
delivery - capital,new england,residential,,2026,8.911,336,
delivery - capital,new england,residential,,2027,8.96,337,
delivery - capital,new england,residential,,2028,9.046,338,
delivery - capital,new england,residential,,2029,9.153,339,
delivery - capital,new england,residential,,2030,9.247,340,
delivery - capital,new england,residential,,2031,9.347,341,
delivery - capital,new england,residential,,2032,9.432,342,
delivery - capital,new england,residential,,2033,9.523,343,
delivery - capital,new england,residential,,2034,9.634,344,
delivery - capital,new england,residential,,2035,9.723,345,
delivery - capital,new england,residential,,2036,9.811,346,
delivery - capital,new england,residential,,2037,9.902,347,
delivery - capital,new england,residential,,2038,9.998,348,
delivery - capital,new england,residential,,2039,10.101,349,
delivery - capital,new england,residential,,2040,10.206,350,
delivery - capital,new england,residential,,2041,10.3,351,
delivery - capital,new england,residential,,2042,10.414,352,
delivery - capital,new england,residential,,2043,10.485,353,
delivery - capital,new england,residential,,2044,10.607,354,
delivery - capital,new england,residential,,2045,10.709,355,
delivery - capital,new england,residential,,2046,10.785,356,
delivery - capital,new england,residential,,2047,10.864,357,
delivery - capital,new england,residential,,2048,10.973,358,
delivery - capital,new england,residential,,2049,11.053,359,
delivery - capital,new england,residential,,2050,10.92,360,
delivery - capital,new england,commercial,,2015,5.842,361,
delivery - capital,new england,commercial,,2016,4.981,362,
delivery - capital,new england,commercial,,2017,5.088,363,
delivery - capital,new england,commercial,,2018,5.449,364,
delivery - capital,new england,commercial,,2019,5.715,365,
delivery - capital,new england,commercial,,2020,5.932,366,
delivery - capital,new england,commercial,,2021,6.03,367,
delivery - capital,new england,commercial,,2022,6.123,368,
delivery - capital,new england,commercial,,2023,6.163,369,
delivery - capital,new england,commercial,,2024,6.151,370,
delivery - capital,new england,commercial,,2025,6.125,371,
delivery - capital,new england,commercial,,2026,6.122,372,
delivery - capital,new england,commercial,,2027,6.1,373,
delivery - capital,new england,commercial,,2028,6.111,374,
delivery - capital,new england,commercial,,2029,6.14,375,
delivery - capital,new england,commercial,,2030,6.154,376,
delivery - capital,new england,commercial,,2031,6.175,377,
delivery - capital,new england,commercial,,2032,6.177,378,
delivery - capital,new england,commercial,,2033,6.186,379,
delivery - capital,new england,commercial,,2034,6.211,380,
delivery - capital,new england,commercial,,2035,6.208,381,
delivery - capital,new england,commercial,,2036,6.205,382,
delivery - capital,new england,commercial,,2037,6.205,383,
delivery - capital,new england,commercial,,2038,6.215,384,
delivery - capital,new england,commercial,,2039,6.237,385,
delivery - capital,new england,commercial,,2040,6.26,386,
delivery - capital,new england,commercial,,2041,6.272,387,
delivery - capital,new england,commercial,,2042,6.303,388,
delivery - capital,new england,commercial,,2043,6.292,389,
delivery - capital,new england,commercial,,2044,6.33,390,
delivery - capital,new england,commercial,,2045,6.35,391,
delivery - capital,new england,commercial,,2046,6.345,392,
delivery - capital,new england,commercial,,2047,6.344,393,
delivery - capital,new england,commercial,,2048,6.371,394,
delivery - capital,new england,commercial,,2049,6.372,395,
delivery - capital,new england,commercial,,2050,6.183,396,
delivery - capital,mountain,transportation,,2032,1.045,397,
delivery - capital,new england,transportation,,2015,1.598,398,
delivery - capital,new england,transportation,,2016,1.738,399,
delivery - capital,mountain,transportation,,2033,1.053,400,
delivery - capital,new england,transportation,,2017,1.772,401,
delivery - capital,new england,transportation,,2018,1.915,402,
delivery - capital,new england,transportation,,2019,1.983,403,
delivery - capital,new england,transportation,,2020,2.0,404,
delivery - capital,pacific,transportation,,2030,1.973,405,
delivery - capital,new england,transportation,,2021,2.044,406,
delivery - capital,new england,transportation,,2022,2.113,407,
delivery - capital,new england,transportation,,2023,2.125,408,
delivery - capital,mountain,transportation,,2034,1.042,409,
delivery - capital,new england,transportation,,2024,2.089,410,
delivery - capital,new england,transportation,,2025,2.034,411,
delivery - capital,mountain,transportation,,2035,1.06,412,
delivery - capital,new england,transportation,,2026,1.999,413,
delivery - capital,new england,transportation,,2027,1.953,414,
delivery - capital,new england,transportation,,2028,1.933,415,
delivery - capital,new england,transportation,,2029,1.932,416,
delivery - capital,pacific,transportation,,2031,1.969,417,
delivery - capital,new england,transportation,,2030,1.927,418,
delivery - capital,new england,transportation,,2031,1.932,419,
delivery - capital,new england,transportation,,2032,1.916,420,
delivery - capital,new england,transportation,,2033,1.91,421,
delivery - capital,new england,transportation,,2034,1.913,422,
delivery - capital,new england,transportation,,2035,1.892,423,
delivery - capital,new england,transportation,,2036,1.874,424,
delivery - capital,new england,transportation,,2037,1.857,425,
delivery - capital,new england,transportation,,2038,1.858,426,
delivery - capital,mountain,transportation,,2036,1.115,427,
delivery - capital,new england,transportation,,2039,1.863,428,
delivery - capital,new england,transportation,,2040,1.877,429,
delivery - capital,new england,transportation,,2041,1.87,430,
delivery - capital,new england,transportation,,2042,1.889,431,
delivery - capital,new england,transportation,,2043,1.86,432,
delivery - capital,new england,productive,,2015,1.598,433,
delivery - capital,new england,productive,,2016,1.738,434,
delivery - capital,new england,productive,,2017,1.772,435,
delivery - capital,new england,productive,,2018,1.915,436,
delivery - capital,new england,productive,,2019,1.983,437,
delivery - capital,new england,productive,,2020,2.0,438,
delivery - capital,new england,productive,,2021,2.044,439,
delivery - capital,new england,productive,,2022,2.113,440,
delivery - capital,new england,productive,,2023,2.125,441,
delivery - capital,new england,productive,,2024,2.089,442,
delivery - capital,new england,productive,,2025,2.034,443,
delivery - capital,new england,productive,,2026,1.999,444,
delivery - capital,new england,productive,,2027,1.953,445,
delivery - capital,new england,productive,,2028,1.933,446,
delivery - capital,new england,productive,,2029,1.932,447,
delivery - capital,new england,productive,,2030,1.927,448,
delivery - capital,new england,productive,,2031,1.932,449,
delivery - capital,new england,productive,,2032,1.916,450,
delivery - capital,new england,productive,,2033,1.91,451,
delivery - capital,new england,productive,,2034,1.913,452,
delivery - capital,new england,productive,,2035,1.892,453,
delivery - capital,new england,productive,,2036,1.874,454,
delivery - capital,new england,productive,,2037,1.857,455,
delivery - capital,new england,productive,,2038,1.858,456,
delivery - capital,new england,productive,,2039,1.863,457,
delivery - capital,new england,productive,,2040,1.877,458,
delivery - capital,new england,productive,,2041,1.87,459,
delivery - capital,new england,productive,,2042,1.889,460,
delivery - capital,new england,productive,,2043,1.86,461,
delivery - capital,new england,productive,,2044,1.883,462,
delivery - capital,new england,productive,,2045,1.884,463,
delivery - capital,new england,productive,,2046,1.86,464,
delivery - capital,new england,productive,,2047,1.842,465,
delivery - capital,new england,productive,,2048,1.845,466,
delivery - capital,new england,productive,,2049,1.825,467,
delivery - capital,new england,productive,,2050,1.667,468,
delivery - capital,middle atlantic,residential,,2015,7.41,469,
delivery - capital,middle atlantic,residential,,2016,7.298,470,
delivery - capital,middle atlantic,residential,,2017,7.454,471,
delivery - capital,middle atlantic,residential,,2018,7.336,472,
delivery - capital,middle atlantic,residential,,2019,7.134,473,
delivery - capital,middle atlantic,residential,,2020,6.917,474,
delivery - capital,middle atlantic,residential,,2021,6.958,475,
delivery - capital,middle atlantic,residential,,2022,7.026,476,
delivery - capital,middle atlantic,residential,,2023,7.062,477,
delivery - capital,middle atlantic,residential,,2024,7.078,478,
delivery - capital,middle atlantic,residential,,2025,7.075,479,
delivery - capital,middle atlantic,residential,,2026,7.087,480,
delivery - capital,middle atlantic,residential,,2027,7.125,481,
delivery - capital,middle atlantic,residential,,2028,7.197,482,
delivery - capital,middle atlantic,residential,,2029,7.256,483,
delivery - capital,middle atlantic,residential,,2030,7.308,484,
delivery - capital,middle atlantic,residential,,2031,7.399,485,
delivery - capital,middle atlantic,residential,,2032,7.489,486,
delivery - capital,middle atlantic,residential,,2033,7.583,487,
delivery - capital,middle atlantic,residential,,2034,7.677,488,
delivery - capital,middle atlantic,residential,,2035,7.808,489,
delivery - capital,middle atlantic,residential,,2036,7.917,490,
delivery - capital,middle atlantic,residential,,2037,7.987,491,
delivery - capital,middle atlantic,residential,,2038,8.073,492,
delivery - capital,middle atlantic,residential,,2039,8.155,493,
delivery - capital,middle atlantic,residential,,2040,8.174,494,
delivery - capital,middle atlantic,residential,,2041,8.229,495,
delivery - capital,middle atlantic,residential,,2042,8.293,496,
delivery - capital,middle atlantic,residential,,2043,8.359,497,
delivery - capital,middle atlantic,residential,,2044,8.411,498,
delivery - capital,middle atlantic,residential,,2045,8.477,499,
delivery - capital,middle atlantic,residential,,2046,8.548,500,
delivery - capital,middle atlantic,residential,,2047,8.562,501,
delivery - capital,middle atlantic,residential,,2048,8.612,502,
delivery - capital,middle atlantic,residential,,2049,8.643,503,
delivery - capital,middle atlantic,residential,,2050,8.689,504,
delivery - capital,middle atlantic,commercial,,2015,4.863,505,
delivery - capital,middle atlantic,commercial,,2016,4.095,506,
delivery - capital,middle atlantic,commercial,,2017,4.315,507,
delivery - capital,middle atlantic,commercial,,2018,4.616,508,
delivery - capital,middle atlantic,commercial,,2019,4.866,509,
delivery - capital,middle atlantic,commercial,,2020,5.089,510,
delivery - capital,middle atlantic,commercial,,2021,5.095,511,
delivery - capital,middle atlantic,commercial,,2022,5.123,512,
delivery - capital,middle atlantic,commercial,,2023,5.126,513,
delivery - capital,middle atlantic,commercial,,2024,5.112,514,
delivery - capital,middle atlantic,commercial,,2025,5.08,515,
delivery - capital,middle atlantic,commercial,,2026,5.058,516,
delivery - capital,middle atlantic,commercial,,2027,5.055,517,
delivery - capital,middle atlantic,commercial,,2028,5.083,518,
delivery - capital,middle atlantic,commercial,,2029,5.097,519,
delivery - capital,middle atlantic,commercial,,2030,5.103,520,
delivery - capital,middle atlantic,commercial,,2031,5.152,521,
delivery - capital,middle atlantic,commercial,,2032,5.194,522,
delivery - capital,middle atlantic,commercial,,2033,5.242,523,
delivery - capital,middle atlantic,commercial,,2034,5.282,524,
delivery - capital,middle atlantic,commercial,,2035,5.364,525,
delivery - capital,middle atlantic,commercial,,2036,5.426,526,
delivery - capital,middle atlantic,commercial,,2037,5.435,527,
delivery - capital,middle atlantic,commercial,,2038,5.468,528,
delivery - capital,middle atlantic,commercial,,2039,5.494,529,
delivery - capital,middle atlantic,commercial,,2040,5.464,530,
delivery - capital,middle atlantic,commercial,,2041,5.464,531,
delivery - capital,middle atlantic,commercial,,2042,5.483,532,
delivery - capital,middle atlantic,commercial,,2043,5.499,533,
delivery - capital,middle atlantic,commercial,,2044,5.503,534,
delivery - capital,middle atlantic,commercial,,2045,5.523,535,
delivery - capital,middle atlantic,commercial,,2046,5.547,536,
delivery - capital,middle atlantic,commercial,,2047,5.516,537,
delivery - capital,middle atlantic,commercial,,2048,5.521,538,
delivery - capital,middle atlantic,commercial,,2049,5.508,539,
delivery - capital,middle atlantic,commercial,,2050,5.503,540,
delivery - capital,pacific,transportation,,2032,1.95,541,
delivery - capital,new england,transportation,,2044,1.883,542,
delivery - capital,new england,transportation,,2045,1.884,543,
delivery - capital,new england,transportation,,2046,1.86,544,
delivery - capital,mountain,transportation,,2037,1.122,545,
delivery - capital,new england,transportation,,2047,1.842,546,
delivery - capital,new england,transportation,,2048,1.845,547,
delivery - capital,mountain,transportation,,2038,1.119,548,
delivery - capital,new england,transportation,,2049,1.825,549,
delivery - capital,new england,transportation,,2050,1.667,550,
delivery - capital,middle atlantic,transportation,,2015,3.296,551,
delivery - capital,middle atlantic,transportation,,2016,1.694,552,
delivery - capital,pacific,transportation,,2033,1.939,553,
delivery - capital,middle atlantic,transportation,,2017,1.329,554,
delivery - capital,middle atlantic,transportation,,2018,1.28,555,
delivery - capital,middle atlantic,transportation,,2019,1.281,556,
delivery - capital,middle atlantic,transportation,,2020,1.304,557,
delivery - capital,middle atlantic,transportation,,2021,1.285,558,
delivery - capital,middle atlantic,transportation,,2022,1.288,559,
delivery - capital,middle atlantic,transportation,,2023,1.286,560,
delivery - capital,middle atlantic,transportation,,2024,1.272,561,
delivery - capital,middle atlantic,transportation,,2025,1.236,562,
delivery - capital,mountain,transportation,,2039,1.119,563,
