demand_technology,definition,reference_tech_id,geography,other_index_1,other_index_2,final_energy,utility_factor,is_numerator_service,numerator_unit,denominator_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,geography_map_key
Reference Commercial Reach-in Refrigerators,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Reach-in Refrigerators,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Reach-in Freezers,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Reach-in Freezers,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Ice-Machines,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Ice-Machines,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Beverage Merchandisers,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Beverage Merchandisers,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Refrigerated Vending Machines,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Refrigerated Vending Machines,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Commercial Electric Booster Water Heater,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Commercial Solar Water Heater with Electric Backup,absolute,,us,,,electricity,0.5,True,Btu,Btu,linear_interpolation,nearest,,,,
Commercial Reference Heat Pump Storage Water Heater,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Commercial High Efficiency Heat Pump Storage Water Heater,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Commercial Reference Gas Instantaneous Water Heater,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Commercial High Efficiency Gas Instantaneous Water Heater,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Commercial High Efficiency Gas Booster Water Heater,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Commercial  Reference Gas Booster Water Heater,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Commercial Reference Gas Storage Water Heater,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Commercial High Efficiency Gas Storage Water Heater,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Commercial Electric Resistance Storage Water Heater,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Commercial Reference Oil Water Heater,absolute,,us,,,diesel fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Commercial High Efficiency Oil Water Heater,absolute,,us,,,diesel fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference LPG Medium-Duty Vehicle,relative,27.0,us,,,lpg fuel,1.0,,,,linear_interpolation,nearest,,,,
Hybrid Gasoline Medium-Duty Vehicle,relative,26.0,us,,,gasoline fuel,1.0,,,,linear_interpolation,nearest,,,,
Hybrid CNG Medium-Duty Vehicle,relative,27.0,us,,,compressed pipeline gas,1.0,,,,linear_interpolation,nearest,,,,
Hydrogen Fuel Cell Medium-Duty Vehicle,relative,25.0,us,,,liquid hydrogen,1.0,,,,linear_interpolation,nearest,,,,
Battery Electric Medium-Duty Vehicle,absolute,,us,,,electricity,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Reference Diesel Heavy-Duty Vehicle,absolute,,us,,,diesel fuel,1.0,True,mile,US_gde,linear_interpolation,nearest,,,,
Diesel Hybrid Heavy-Duty Vehicle,relative,212.0,us,,,diesel fuel,1.0,,,,linear_interpolation,nearest,,,,
LNG Heavy-Duty Vehicle,absolute,,us,,,liquefied pipeline gas,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
LNG Hybrid Heavy-Duty Vehicle,relative,214.0,us,,,liquefied pipeline gas,1.0,,,,linear_interpolation,nearest,,,,
Reference Commercial Air Source Heat Pump - Cooling (with flex cost),relative,91.0,,,,,,,,,,,,,,
Hydrogen FCV Heavy-Duty Vehicle,absolute,,us,,,liquid hydrogen,1.0,True,mile,US_gde,linear_interpolation,nearest,,,,
Reference Gasoline Heavy-Duty Vehicle,absolute,,us,,,gasoline fuel,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Reference Propane Heavy-Duty Vehicle,absolute,,us,,,lpg fuel,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Reference Gasoline Light-Duty Auto,absolute,,us,,,gasoline fuel,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Electric Light-Duty Auto - 200 mile range,absolute,,us,,,electricity,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
CNG Light-Duty Auto,absolute,,us,,,compressed pipeline gas,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Propane ICE Light-Duty Auto,absolute,,us,,,diesel fuel,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Hydrogen Fuel-Cell Light-Duty Auto,absolute,,us,,,liquid hydrogen,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Diesel - Electric Hybrid Light-Duty Auto,absolute,,us,,,diesel fuel,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Gasoline-Electric Hybrid Light-Duty Auto,absolute,,us,,,gasoline fuel,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Reference TDI Light-Duty Auto,absolute,,us,,,diesel fuel,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Reference Gasoline Light-Duty Truck,absolute,,us,light duty truck class,,gasoline fuel,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Electric Light-Duty Truck - 200 mile range,absolute,,us,,,electricity,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
CNG Light-Duty Truck,absolute,,us,light duty truck class,,compressed pipeline gas,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Propane ICE Light-Duty Truck,absolute,,us,light duty truck class,,diesel fuel,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Hydrogen Fuel-Cell Light-Duty Truck,absolute,,us,light duty truck class,,liquid hydrogen,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Electric - Diesel Hybrid Light-Duty Truck,absolute,,us,light duty truck class,,gasoline fuel,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
