demand_technology,definition,reference_tech_id,geography,other_index_1,other_index_2,currency,currency_year_id,is_levelized,interpolation_method,extrapolation_method,extrapolation_growth,reference_tech_operation
High Efficiency Commercial Compressor Rack Systems,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Condensers,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Condensers,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Walk-in Refrigerators,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Walk-in Refrigerators,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Walk-in Freezers,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Walk-in Freezers,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Reach-in Refrigerators,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Reach-in Refrigerators,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Reach-in Freezers,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Reach-in Freezers,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Ice-Machines,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Ice-Machines,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Beverage Merchandisers,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Beverage Merchandisers,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Refrigerated Vending Machines,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Refrigerated Vending Machines,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial Electric Booster Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial Solar Water Heater with Electric Backup,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial Reference Heat Pump Storage Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial High Efficiency Heat Pump Storage Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial Reference Gas Instantaneous Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial High Efficiency Gas Instantaneous Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial High Efficiency Gas Booster Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial  Reference Gas Booster Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial Reference Gas Storage Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial High Efficiency Gas Storage Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial Electric Resistance Storage Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial Reference Oil Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial High Efficiency Oil Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Diesel Heavy-Duty Vehicle,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Diesel Hybrid Heavy-Duty Vehicle,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
LNG Heavy-Duty Vehicle,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Gasoline Light-Duty Auto,absolute,,us,,,USD,2008.0,False,linear_interpolation,nearest,,
CNG Light-Duty Auto,absolute,,us,,,USD,2008.0,False,linear_interpolation,nearest,,
Hydrogen Fuel-Cell Light-Duty Auto,absolute,,us,,,USD,2008.0,False,linear_interpolation,nearest,,
Gasoline-Electric Hybrid Light-Duty Auto,absolute,,us,,,USD,2008.0,False,linear_interpolation,nearest,,
Reference Gasoline Light-Duty Truck,absolute,,us,,,USD,2008.0,False,linear_interpolation,nearest,,
CNG Light-Duty Truck,absolute,,us,,,USD,2008.0,False,linear_interpolation,nearest,,
Hydrogen Fuel-Cell Light-Duty Truck,absolute,,us,,,USD,2008.0,False,linear_interpolation,nearest,,
Electric - Gasoline Hybrid Light-Duty Truck,absolute,,us,,,USD,2008.0,False,linear_interpolation,nearest,,
Reference Res Building Shell,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
ESTAR Res Building Shell,absolute,,census division,housing types,,USD,2013.0,False,linear_interpolation,nearest,,
FORTY% Res Building Shell,absolute,,census division,housing types,,USD,2013.0,False,linear_interpolation,nearest,,
IECC 2009 Res Building Shell,absolute,,census division,housing types,,USD,2013.0,False,linear_interpolation,nearest,,
No IECC 2009 Res Building Shell,absolute,,census division,housing types,,USD,2013.0,False,linear_interpolation,nearest,,
PATH Res Building Shell,absolute,,census division,housing types,,USD,2013.0,False,linear_interpolation,nearest,,
Autonomous Electric Light-Duty Auto,absolute,,us,,,USD,2008.0,False,linear_interpolation,nearest,,
Autonomous Electric Light-Duty Truck,absolute,,us,,,USD,2008.0,False,linear_interpolation,nearest,,
Electric Light-Duty Auto - 200 mile range,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
PHEV - 50 mile range - Light Duty Auto,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
PHEV - 25 mile range - Light Duty Auto,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
Electric Light-Duty Truck - 200 mile range,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
PHEV - Gasoline - 50 mile range - Light Duty Truck,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
Electric Heavy Duty Vehicle,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
Electric Light-Duty Auto - 100 mile range,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
Electric Light-Duty Auto - 300 mile range,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
Electric Light-Duty Truck - 100 mile range,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
