name,geography
"cedar, iowa",county
"cherokee, iowa",county
"chickasaw, iowa",county
"clarke, iowa",county
"clay, iowa",county
"clayton, iowa",county
"clinton, iowa",county
"crawford, iowa",county
"dallas, iowa",county
"decatur, iowa",county
"delaware, iowa",county
"des moines, iowa",county
"dickinson, iowa",county
"dubuque, iowa",county
"emmet, iowa",county
"fayette, iowa",county
"franklin, iowa",county
"fremont, iowa",county
"greene, iowa",county
"grundy, iowa",county
"hamilton, iowa",county
"hancock, iowa",county
"hardin, iowa",county
"harrison, iowa",county
"henry, iowa",county
"howard, iowa",county
"humboldt, iowa",county
"ida, iowa",county
"jackson, iowa",county
"jasper, iowa",county
"jefferson, iowa",county
"jones, iowa",county
"keokuk, iowa",county
"kossuth, iowa",county
"lee, iowa",county
"linn, iowa",county
"louisa, iowa",county
"lucas, iowa",county
"lyon, iowa",county
"madison, iowa",county
"marion, iowa",county
"marshall, iowa",county
"monona, iowa",county
"montgomery, iowa",county
"muscatine, iowa",county
"o'brien, iowa",county
"osceola, iowa",county
"page, iowa",county
"palo alto, iowa",county
"plymouth, iowa",county
"polk, iowa",county
"pottawattamie, iowa",county
"poweshiek, iowa",county
"ringgold, iowa",county
"scott, iowa",county
"shelby, iowa",county
"sioux, iowa",county
"story, iowa",county
"tama, iowa",county
"taylor, iowa",county
"union, iowa",county
"van buren, iowa",county
"wapello, iowa",county
"warren, iowa",county
"wayne, iowa",county
"webster, iowa",county
"winneshiek, iowa",county
"woodbury, iowa",county
"worth, iowa",county
"wright, iowa",county
"allen, kansas",county
"anderson, kansas",county
"atchison, kansas",county
"barber, kansas",county
"barton, kansas",county
"bourbon, kansas",county
"brown, kansas",county
"butler, kansas",county
"cherokee, kansas",county
"cheyenne, kansas",county
"clark, kansas",county
"clay, kansas",county
"cloud, kansas",county
"coffey, kansas",county
"comanche, kansas",county
"cowley, kansas",county
"crawford, kansas",county
"decatur, kansas",county
"doniphan, kansas",county
"douglas, kansas",county
"edwards, kansas",county
"ellis, kansas",county
"ellsworth, kansas",county
"finney, kansas",county
"ford, kansas",county
"franklin, kansas",county
"geary, kansas",county
"gove, kansas",county
"graham, kansas",county
"grant, kansas",county
"gray, kansas",county
"greeley, kansas",county
"harper, kansas",county
"harvey, kansas",county
"haskell, kansas",county
"hodgeman, kansas",county
"jackson, kansas",county
"jefferson, kansas",county
"jewell, kansas",county
"johnson, kansas",county
"kearny, kansas",county
"kingman, kansas",county
"kiowa, kansas",county
"labette, kansas",county
"lane, kansas",county
"lincoln, kansas",county
"linn, kansas",county
"logan, kansas",county
"marion, kansas",county
"marshall, kansas",county
"mcpherson, kansas",county
"meade, kansas",county
"miami, kansas",county
"mitchell, kansas",county
"montgomery, kansas",county
"morris, kansas",county
"morton, kansas",county
"nemaha, kansas",county
"neosho, kansas",county
"norton, kansas",county
"osborne, kansas",county
"ottawa, kansas",county
"pawnee, kansas",county
"phillips, kansas",county
"pottawatomie, kansas",county
"pratt, kansas",county
"rawlins, kansas",county
"rush, kansas",county
"saline, kansas",county
"scott, kansas",county
"sedgwick, kansas",county
"seward, kansas",county
"shawnee, kansas",county
"sheridan, kansas",county
"sherman, kansas",county
"smith, kansas",county
"stafford, kansas",county
"stanton, kansas",county
"stevens, kansas",county
"thomas, kansas",county
"wabaunsee, kansas",county
"wallace, kansas",county
"washington, kansas",county
"wichita, kansas",county
"wilson, kansas",county
"woodson, kansas",county
"wyandotte, kansas",county
"adair, kentucky",county
"allen, kentucky",county
"ballard, kentucky",county
"bath, kentucky",county
"bell, kentucky",county
"boone, kentucky",county
"bourbon, kentucky",county
"boyd, kentucky",county
"boyle, kentucky",county
"bracken, kentucky",county
"breckinridge, kentucky",county
"bullitt, kentucky",county
"butler, kentucky",county
"caldwell, kentucky",county
"calloway, kentucky",county
"campbell, kentucky",county
"carlisle, kentucky",county
"casey, kentucky",county
"christian, kentucky",county
"clark, kentucky",county
"clay, kentucky",county
"clinton, kentucky",county
"crittenden, kentucky",county
"cumberland, kentucky",county
"daviess, kentucky",county
"edmonson, kentucky",county
"elliott, kentucky",county
"estill, kentucky",county
"fayette, kentucky",county
"fleming, kentucky",county
"floyd, kentucky",county
"gallatin, kentucky",county
"garrard, kentucky",county
"grant, kentucky",county
"graves, kentucky",county
"grayson, kentucky",county
"green, kentucky",county
"greenup, kentucky",county
"hancock, kentucky",county
"hardin, kentucky",county
"harlan, kentucky",county
"harrison, kentucky",county
"hart, kentucky",county
"henry, kentucky",county
"hickman, kentucky",county
"jackson, kentucky",county
"jefferson, kentucky",county
"jessamine, kentucky",county
"johnson, kentucky",county
"kenton, kentucky",county
"knott, kentucky",county
"knox, kentucky",county
"larue, kentucky",county
"laurel, kentucky",county
"lawrence, kentucky",county
"lee, kentucky",county
"letcher, kentucky",county
"lewis, kentucky",county
"lincoln, kentucky",county
"logan, kentucky",county
"lyon, kentucky",county
"madison, kentucky",county
"magoffin, kentucky",county
"marion, kentucky",county
"marshall, kentucky",county
"martin, kentucky",county
"mason, kentucky",county
"mccracken, kentucky",county
"mccreary, kentucky",county
"meade, kentucky",county
"menifee, kentucky",county
"mercer, kentucky",county
"metcalfe, kentucky",county
"montgomery, kentucky",county
"morgan, kentucky",county
"muhlenberg, kentucky",county
"nelson, kentucky",county
"nicholas, kentucky",county
"ohio, kentucky",county
"oldham, kentucky",county
"owen, kentucky",county
"owsley, kentucky",county
"perry, kentucky",county
"pike, kentucky",county
"powell, kentucky",county
"pulaski, kentucky",county
"robertson, kentucky",county
"rowan, kentucky",county
"russell, kentucky",county
"scott, kentucky",county
"shelby, kentucky",county
"simpson, kentucky",county
"spencer, kentucky",county
"taylor, kentucky",county
"todd, kentucky",county
"trigg, kentucky",county
"union, kentucky",county
"warren, kentucky",county
"washington, kentucky",county
"wayne, kentucky",county
"webster, kentucky",county
"wolfe, kentucky",county
"woodford, kentucky",county
"acadia, louisiana",county
"allen, louisiana",county
"ascension, louisiana",county
"assumption, louisiana",county
"avoyelles, louisiana",county
"bienville, louisiana",county
"bossier, louisiana",county
"caddo, louisiana",county
"calcasieu, louisiana",county
"cameron, louisiana",county
"catahoula, louisiana",county
"concordia, louisiana",county
"de soto, louisiana",county
"east baton rouge, louisiana",county
"east carroll, louisiana",county
"evangeline, louisiana",county
"franklin, louisiana",county
"grant, louisiana",county
"iberia, louisiana",county
"iberville, louisiana",county
"jackson, louisiana",county
"jefferson davis, louisiana",county
"jefferson, louisiana",county
"lafayette, louisiana",county
"lafourche, louisiana",county
"lincoln, louisiana",county
"madison, louisiana",county
"morehouse, louisiana",county
"orleans, louisiana",county
"ouachita, louisiana",county
"plaquemines, louisiana",county
"pointe coupee, louisiana",county
"rapides, louisiana",county
"red river, louisiana",county
"richland, louisiana",county
"sabine, louisiana",county
"st. bernard, louisiana",county
"st. charles, louisiana",county
"st. helena, louisiana",county
"st. landry, louisiana",county
"st. martin, louisiana",county
"st. mary, louisiana",county
"st. tammany, louisiana",county
"tangipahoa, louisiana",county
"tensas, louisiana",county
"terrebonne, louisiana",county
"union, louisiana",county
"vermilion, louisiana",county
"vernon, louisiana",county
"washington, louisiana",county
"webster, louisiana",county
"west carroll, louisiana",county
"west feliciana, louisiana",county
"winn, louisiana",county
"androscoggin, maine",county
"aroostook, maine",county
"franklin, maine",county
"hancock, maine",county
"kennebec, maine",county
"knox, maine",county
"lincoln, maine",county
"oxford, maine",county
"penobscot, maine",county
"piscataquis, maine",county
"sagadahoc, maine",county
"somerset, maine",county
"waldo, maine",county
"washington, maine",county
"york, maine",county
"baltimore, maryland",county
"calvert, maryland",county
"caroline, maryland",county
"carroll, maryland",county
"cecil, maryland",county
"charles, maryland",county
"dorchester, maryland",county
"frederick, maryland",county
"garrett, maryland",county
"harford, maryland",county
"howard, maryland",county
"kent, maryland",county
"montgomery, maryland",county
"queen anne's, maryland",county
"st. mary's, maryland",county
"talbot, maryland",county
"washington, maryland",county
"wicomico, maryland",county
"worcester, maryland",county
"barnstable, massachusetts",county
"berkshire, massachusetts",county
"bristol, massachusetts",county
"dukes, massachusetts",county
"essex, massachusetts",county
"franklin, massachusetts",county
"hampden, massachusetts",county
"nantucket, massachusetts",county
"norfolk, massachusetts",county
"plymouth, massachusetts",county
"suffolk, massachusetts",county
"worcester, massachusetts",county
"alcona, michigan",county
"alger, michigan",county
"allegan, michigan",county
"alpena, michigan",county
"antrim, michigan",county
"arenac, michigan",county
"baraga, michigan",county
"barry, michigan",county
"bay, michigan",county
"benzie, michigan",county
"berrien, michigan",county
"branch, michigan",county
"calhoun, michigan",county
"cass, michigan",county
"chippewa, michigan",county
"clare, michigan",county
"clinton, michigan",county
"crawford, michigan",county
"delta, michigan",county
"dickinson, michigan",county
"eaton, michigan",county
"emmet, michigan",county
"genesee, michigan",county
"gladwin, michigan",county
"gogebic, michigan",county
"gratiot, michigan",county
"hillsdale, michigan",county
"huron, michigan",county
"ingham, michigan",county
"ionia, michigan",county
"iosco, michigan",county
"iron, michigan",county
"isabella, michigan",county
"jackson, michigan",county
"kalamazoo, michigan",county
"kalkaska, michigan",county
"kent, michigan",county
"lake, michigan",county
"lapeer, michigan",county
"leelanau, michigan",county
"livingston, michigan",county
"luce, michigan",county
"mackinac, michigan",county
"macomb, michigan",county
"manistee, michigan",county
"marquette, michigan",county
"menominee, michigan",county
"midland, michigan",county
"missaukee, michigan",county
"monroe, michigan",county
"montmorency, michigan",county
"muskegon, michigan",county
"newaygo, michigan",county
"oakland, michigan",county
"oceana, michigan",county
"ogemaw, michigan",county
"ontonagon, michigan",county
"osceola, michigan",county
"oscoda, michigan",county
"otsego, michigan",county
"presque isle, michigan",county
"roscommon, michigan",county
"saginaw, michigan",county
"schoolcraft, michigan",county
"shiawassee, michigan",county
"st. clair, michigan",county
"st. joseph, michigan",county
"tuscola, michigan",county
"van buren, michigan",county
"washtenaw, michigan",county
"wayne, michigan",county
"wexford, michigan",county
"aitkin, minnesota",county
"anoka, minnesota",county
"beltrami, minnesota",county
"benton, minnesota",county
"blue earth, minnesota",county
"brown, minnesota",county
"carlton, minnesota",county
"carver, minnesota",county
"cass, minnesota",county
"chippewa, minnesota",county
"chisago, minnesota",county
"clay, minnesota",county
"clearwater, minnesota",county
"cook, minnesota",county
"cottonwood, minnesota",county
"crow wing, minnesota",county
"dodge, minnesota",county
"faribault, minnesota",county
"fillmore, minnesota",county
"freeborn, minnesota",county
"goodhue, minnesota",county
"grant, minnesota",county
"hennepin, minnesota",county
"houston, minnesota",county
"hubbard, minnesota",county
"isanti, minnesota",county
"itasca, minnesota",county
"jackson, minnesota",county
"kanabec, minnesota",county
"kandiyohi, minnesota",county
"lac qui parle, minnesota",county
"lake of the woods, minnesota",county
"lake, minnesota",county
"le sueur, minnesota",county
"lincoln, minnesota",county
"lyon, minnesota",county
"mahnomen, minnesota",county
