demand_technology,definition,reference_tech_id,geography,other_index_1,other_index_2,currency,currency_year_id,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,additional_description
High Efficiency Commercial Refrigerated Vending Machines,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial Electric Booster Water Heater,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial Solar Water Heater with Electric Backup,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial Reference Heat Pump Storage Water Heater,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial High Efficiency Heat Pump Storage Water Heater,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial Reference Gas Instantaneous Water Heater,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial High Efficiency Gas Instantaneous Water Heater,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial High Efficiency Gas Booster Water Heater,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial  Reference Gas Booster Water Heater,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial Reference Gas Storage Water Heater,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial High Efficiency Gas Storage Water Heater,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial Electric Resistance Storage Water Heater,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial Reference Oil Water Heater,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial High Efficiency Oil Water Heater,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference LPG Medium-Duty Vehicle,relative,25.0,us,,,,,linear_interpolation,nearest,,,,
Hybrid Gasoline Medium-Duty Vehicle,relative,25.0,us,,,,,linear_interpolation,nearest,,,,
Hybrid CNG Medium-Duty Vehicle,relative,25.0,us,,,,,linear_interpolation,nearest,,,,
Hydrogen Fuel Cell Medium-Duty Vehicle,relative,25.0,us,,,,,linear_interpolation,nearest,,,,
Battery Electric Medium-Duty Vehicle,relative,25.0,us,,,,,linear_interpolation,nearest,,,,
Reference Diesel Heavy-Duty Vehicle,absolute,,us,,,USD,2016.0,linear_interpolation,nearest,,,,based on http://atri-online.org/wp-content/uploads/2016/10/ATRI-Operational-Costs-of-Trucking-2016-09-2016.pdf
Diesel Hybrid Heavy-Duty Vehicle,relative,212.0,us,,,,,linear_interpolation,nearest,,,,
LNG Heavy-Duty Vehicle,relative,212.0,us,,,,,linear_interpolation,nearest,,,,
LNG Hybrid Heavy-Duty Vehicle,relative,212.0,us,,,,,linear_interpolation,nearest,,,,
Hydrogen FCV Heavy-Duty Vehicle,relative,212.0,us,,,,,linear_interpolation,nearest,,,,
Reference Gasoline Heavy-Duty Vehicle,relative,212.0,us,,,,,linear_interpolation,nearest,,,,
Reference Propane Heavy-Duty Vehicle,relative,212.0,us,,,,,linear_interpolation,nearest,,,,
Reference Gasoline Light-Duty Auto,absolute,,us,,,USD,2008.0,linear_interpolation,nearest,,,,
Electric Light-Duty Auto - 200 mile range,relative,221.0,us,,,,,linear_interpolation,nearest,,,,
PHEV - 50 mile range - Light Duty Auto,relative,221.0,us,,,,,linear_interpolation,nearest,,,,
PHEV - 25 mile range - Light Duty Auto,relative,221.0,us,,,,,linear_interpolation,nearest,,,,
CNG Light-Duty Auto,absolute,,us,,,USD,2008.0,linear_interpolation,nearest,,,,
Propane ICE Light-Duty Auto,absolute,,us,,,USD,2008.0,linear_interpolation,nearest,,,,
Hydrogen Fuel-Cell Light-Duty Auto,absolute,,us,,,USD,2008.0,linear_interpolation,nearest,,,,
Diesel - Electric Hybrid Light-Duty Auto,absolute,,us,,,USD,2008.0,linear_interpolation,nearest,,,,
Gasoline-Electric Hybrid Light-Duty Auto,absolute,,us,,,USD,2008.0,linear_interpolation,nearest,,,,
Reference TDI Light-Duty Auto,absolute,,us,,,USD,2008.0,linear_interpolation,nearest,,,,
Reference Gasoline Light-Duty Truck,absolute,,us,,,USD,2008.0,linear_interpolation,nearest,,,,
Electric Light-Duty Truck - 200 mile range,relative,232.0,us,,,,,linear_interpolation,nearest,,,,
PHEV - Gasoline - 50 mile range - Light Duty Truck,relative,232.0,us,,,,,linear_interpolation,nearest,,,,
PHEV - Gasoline - 25 mile range - Light Duty Truck,relative,232.0,us,,,,,linear_interpolation,nearest,,,,
CNG Light-Duty Truck,absolute,,us,,,USD,2008.0,linear_interpolation,nearest,,,,
Propane ICE Light-Duty Truck,absolute,,us,,,USD,2008.0,linear_interpolation,nearest,,,,
Hydrogen Fuel-Cell Light-Duty Truck,absolute,,us,,,USD,2008.0,linear_interpolation,nearest,,,,
Electric - Diesel Hybrid Light-Duty Truck,absolute,,us,,,USD,2008.0,linear_interpolation,nearest,,,,
Electric - Gasoline Hybrid Light-Duty Truck,absolute,,us,,,USD,2008.0,linear_interpolation,nearest,,,,
Reference TDI Light-Duty Truck,absolute,,us,,,USD,2008.0,linear_interpolation,nearest,,,,
Hybrid Diesel Medium-Duty Vehicle,relative,25.0,us,,,,,linear_interpolation,nearest,,,,
Autonomous Electric Light-Duty Auto,relative,222.0,us,,,USD,2016.0,linear_interpolation,nearest,,,,
Autonomous Electric Light-Duty Truck,relative,233.0,us,,,USD,2016.0,linear_interpolation,nearest,,,,
Electric Heavy Duty Vehicle,absolute,,us,,,USD,2016.0,linear_interpolation,nearest,,,,Reference vehicle O&M Plus $4070 contributed for catenary charging infrastructure
Electric Light-Duty Auto - 100 mile range,relative,221.0,us,,,,,linear_interpolation,nearest,,,,
Electric Light-Duty Auto - 300 mile range,relative,221.0,us,,,,,linear_interpolation,nearest,,,,
Electric Light-Duty Truck - 100 mile range,relative,232.0,us,,,,,linear_interpolation,nearest,,,,
Electric Light-Duty Truck - 300 mile range,relative,232.0,us,,,,,linear_interpolation,nearest,,,,
Electric Transit bus,relative,,us,,,,,linear_interpolation,nearest,,,,
Diesel Transit bus,absolute,,us,,,USD,2016.0,linear_interpolation,nearest,,,,
CNG Transit bus,relative,,us,,,,,linear_interpolation,nearest,,,,
Hybrid electric Transit bus,relative,419.0,us,,,,,linear_interpolation,nearest,,,,
Gasoline Transit Bus,relative,419.0,,,,,,linear_interpolation,nearest,,,,
Reference Air Source Heat Pump - Heating (with flex cost),relative,4.0,,,,,,,,,,,
Reference Electric Unit Heaters (with flex cost),relative,7.0,,,,,,,,,,,
Reference Geothermal Heat Pump - Heating (with flex cost),relative,10.0,,,,,,,,,,,
High Efficiency Air Source Heat Pump - Heating (with flex cost),relative,14.0,,,,,,,,,,,
High Efficiency Geothermal Heat Pump - Heating (with flex cost),relative,21.0,,,,,,,,,,,
Reference Electric Resistance Water Heater (with flex cost),relative,35.0,,,,,,,,,,,
Reference Electric Heat Pump Water Heater (with flex cost),relative,36.0,,,,,,,,,,,
High Efficiency Electric Heat Pump Water Heater (with flex cost),relative,37.0,,,,,,,,,,,
High Efficiency Electric Resistance Water Heater (with flex cost),relative,39.0,,,,,,,,,,,
Reference Central Air Conditioner (with flex cost),relative,42.0,,,,,,,,,,,
High Efficiency Central Air Conditioner (with flex cost),relative,43.0,,,,,,,,,,,
Reference Air Source Heat Pump - Cooling (with flex cost),relative,44.0,,,,,,,,,,,
Reference Geothermal Heat Pump - Cooling (with flex cost),relative,45.0,,,,,,,,,,,
High Efficiency Air Source Heat Pump - Cooling (with flex cost),relative,46.0,,,,,,,,,,,
High Efficiency Geothermal Heat Pump - Cooling (with flex cost),relative,47.0,,,,,,,,,,,
Reference Top Mount Refrigerator (with flex cost),relative,48.0,,,,,,,,,,,
High Efficiency Top Mount Refrigerator (with flex cost),relative,49.0,,,,,,,,,,,
Reference Bottom Mount Refrigerator (with flex cost),relative,50.0,,,,,,,,,,,
High Efficiency Bottom Mount Refrigerator (with flex cost),relative,51.0,,,,,,,,,,,
Reference Side Mount Refrigerator (with flex cost),relative,52.0,,,,,,,,,,,
High Efficiency Side Mount Refrigerator (with flex cost),relative,53.0,,,,,,,,,,,
Reference Commercial Air Source Heat Pump - Cooling (with flex cost),relative,91.0,,,,,,,,,,,
Reference Commercial Air Source Heat Pump - Heating (with flex cost),relative,96.0,,,,,,,,,,,
High Efficiency Commercial Air Source Heat Pump - Heating (with flex cost),relative,97.0,,,,,,,,,,,
High Efficiency Commercial Air Source Heat Pump - Cooling (with flex cost),relative,99.0,,,,,,,,,,,
Electric Resistance Heat (with flex cost),relative,101.0,,,,,,,,,,,
Reference Commercial Ground Source Heat Pump - Heating (with flex cost),relative,102.0,,,,,,,,,,,
High Efficiency Commercial Ground Source Heat Pump - Heating (with flex cost),relative,103.0,,,,,,,,,,,
Commercial Electric Boiler (with flex cost),relative,104.0,,,,,,,,,,,
Reference Commercial Ground Source Heat Pump -Cooling (with flex cost),relative,105.0,,,,,,,,,,,
High Efficiency Commercial Ground Source Heat Pump - Cooling (with flex cost),relative,106.0,,,,,,,,,,,
Reference Scroll Chiller (with flex cost),relative,107.0,,,,,,,,,,,
High Efficiency Scroll Chiller (with flex cost),relative,108.0,,,,,,,,,,,
Reference Screw Chiller (with flex cost),relative,109.0,,,,,,,,,,,
High Efficiency Screw Chiller (with flex cost),relative,110.0,,,,,,,,,,,
Reference Reciprocating Chiller (with flex cost),relative,111.0,,,,,,,,,,,
High Efficiency Reciprocating Chiller (with flex cost),relative,112.0,,,,,,,,,,,
Reference Centrifugal Chiller (with flex cost),relative,113.0,,,,,,,,,,,
High Efficiency Centrifugal Chiller (with flex cost),relative,114.0,,,,,,,,,,,
Reference Rooftop Air Conditioner (with flex cost),relative,115.0,,,,,,,,,,,
High Efficiency Rooftop Air Conditioner (with flex cost),relative,116.0,,,,,,,,,,,
Reference Wall/Room Air Conditioner (with flex cost),relative,117.0,,,,,,,,,,,
High Efficiency Wall/Room Air Conditioner (with flex cost),relative,118.0,,,,,,,,,,,
Reference Commercial Central Air Conditioner (with flex cost),relative,119.0,,,,,,,,,,,
High Efficiency Commercial Central Air Conditioner (with flex cost),relative,120.0,,,,,,,,,,,
Reference Commercial Walk-in Refrigerators (with flex cost),relative,180.0,,,,,,,,,,,
High Efficiency Commercial Walk-in Refrigerators (with flex cost),relative,181.0,,,,,,,,,,,
Reference Commercial Walk-in Freezers (with flex cost),relative,182.0,,,,,,,,,,,
High Efficiency Commercial Walk-in Freezers (with flex cost),relative,183.0,,,,,,,,,,,
Reference Commercial Reach-in Refrigerators (with flex cost),relative,184.0,,,,,,,,,,,
High Efficiency Commercial Reach-in Refrigerators (with flex cost),relative,185.0,,,,,,,,,,,
Reference Commercial Reach-in Freezers (with flex cost),relative,186.0,,,,,,,,,,,
High Efficiency Commercial Reach-in Freezers (with flex cost),relative,187.0,,,,,,,,,,,
Commercial Reference Heat Pump Storage Water Heater (with flex cost),relative,196.0,,,,,,,,,,,
Commercial High Efficiency Heat Pump Storage Water Heater (with flex cost),relative,197.0,,,,,,,,,,,
Commercial Electric Resistance Storage Water Heater (with flex cost),relative,204.0,,,,,,,,,,,
Lamp: 100W Equivalent LED A Lamp - High Efficiency,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
Lamp: Halogen Infrared Reflector (HIR)  PAR38,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Electric Furnace,absolute,,us,,,USD,2015.0,linear_interpolation,nearest,,,,
Lamp: Halogen Par 38,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
Lamp: LED PAR 38 ,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
Lamp: LED PAR 38 - High Efficiency,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
4ft LFL: LED Integrated Luminaire,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
4ft LFL: LED Integrated Luminaire - High Efficiency,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
4ft LFL: T5 F28,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
4ft LFL: T5 F28 2015 - High Efficiency,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
4ft LFL: T8 F32 High-efficiency/High-Output,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
4ft LFL: T8 F32 Commodity,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
4ft LFL: T8 F32 Commodity - High Efficiency,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
8ft LFL: LED Integrated Luminaire,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
8ft LFL: LED Integrated Luminaire - High Efficiency,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
8ft LFL: T8 F59,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
8ft LFL: T8 F59 - High Efficiency,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
8ft LFL: T8 F59 HE,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
8ft LFL: T8 F59 HE - High Efficiency,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
8ft LFL: T8 F96 HO,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
8ft LFL: T8 F96 HO - High Efficiency,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
Low-Bay LFL: LED Integrated Luminaire,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
Low-Bay LFL: LED Integrated Luminaire - High Efficiency,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
Low-Bay LFL: Mercury Vapor,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
Low-Bay LFL: Metal Halide,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
Low-Bay LFL: Sodium Vapor,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
High-Bay LFL: LED Integrated Luminaire,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
High-Bay LFL: LED Integrated Luminaire - High Efficiency,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
High-Bay LFL: Mercury Vapor,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
High-Bay LFL: Metal Halide,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
Lamp: 100 Equivalent A19 Halogen,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
Lamp: 100W A19 Incandescent,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
Lamp: 100W Equivalent CFL Bare Spiral,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
Lamp: 100W Equivalent CFL Bare Spiral - High Efficiency,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
Lamp: 100W Equivalent LED A Lamp,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
High-Bay LFL: Sodium Vapor,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
High-Bay LFL: T5 4xF54 HO High Bay,absolute,,us,building types,,USD,2013.0,linear_interpolation,nearest,,,,
LED High-Bay Lighting,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial High Output 8 ft. T8,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
LED Low-Bay Lighting Substitute,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial High Pressure Sodium High Bay,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Mercury Vapor Low-Bay Lighting,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference 4 ft. T12 ,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial General Service Incandescent Lamp,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
